x,y,z,id,temp
100,0,0,0,925.20548726881
100,1,0,1,933.99370774213
100,2,0,2,942.99895125322
100,3,0,3,951.98174977311
100,4,0,4,960.93488733092
100,5,0,5,969.8615362321
100,6,0,6,978.76463767373
100,7,0,7,987.64623609049
100,8,0,8,996.50730527432
100,9,0,9,1005.3476448352
100,10,0,10,1014.1658424268
100,11,0,11,1022.9592976823
100,12,0,12,1031.7242870188
100,13,0,13,1040.4560426274
100,14,0,14,1049.1488256677
100,15,0,15,1057.7959870168
100,16,0,16,1066.3900214208
100,17,0,17,1074.9226276958
100,18,0,18,1083.3847877104
100,19,0,19,1091.7668721321
100,20,0,20,1100.0587742384
100,21,0,21,1108.2500669972
100,22,0,22,1116.3301745821
100,23,0,23,1124.28854793
100,24,0,24,1132.1148345301
100,25,0,25,1139.7990346347
100,26,0,26,1147.3316386697
100,27,0,27,1154.703743118
100,28,0,28,1161.9071441042
100,29,0,29,1168.9344091768
100,30,0,30,1175.778928429
100,31,0,31,1182.4349463476
100,32,0,32,1188.8975758787
100,33,0,33,1195.1627963332
100,34,0,34,1201.22743701
100,35,0,35,1207.0891487581
100,36,0,36,1212.7463660179
100,37,0,37,1218.198262057
100,38,0,38,1223.4447000568
100,39,0,39,1228.4861823862
100,40,0,40,1233.3237998883
100,41,0,41,1237.9591823909
100,42,0,42,1242.3944510784
100,43,0,43,1246.632172911
100,44,0,44,1250.6753170237
100,45,0,45,1254.5272129641
100,46,0,46,1258.1915106924
100,47,0,47,1261.6721424066
100,48,0,48,1264.9732863778
100,49,0,49,1268.0993330524
100,50,0,50,1271.0548536652
100,51,0,51,1273.8445715241
100,52,0,52,1276.4733360006
100,53,0,53,1278.9460991295
100,54,0,54,1281.2678946158
100,55,0,55,1283.4438189875
100,56,0,56,1285.479014621
100,57,0,57,1287.378654391
100,58,0,58,1289.1479277438
100,59,0,59,1290.7920280395
100,60,0,60,1292.3161410468
100,61,0,61,1293.7254344982
100,62,0,62,1295.0250486163
100,63,0,63,1296.2200875233
100,64,0,64,1297.3156114367
100,65,0,65,1298.3166295513
100,66,0,66,1299.2280935135
100,67,0,67,1300.0548913951
100,68,0,68,1300.801842094
100,69,0,69,1301.4736900967
100,70,0,70,1302.0751005548
100,71,0,71,1302.6106546374
100,72,0,72,1303.0848451299
100,73,0,73,1303.5020722573
100,74,0,74,1303.8666397134
100,75,0,75,1304.182750883
100,76,0,76,1304.4545052472
100,77,0,77,1304.6858949659
100,78,0,78,1304.8808016332
100,79,0,79,1305.0429932064
100,80,0,80,1305.1761211089
100,81,0,81,1305.28371751
100,82,0,82,1305.3691927855
100,83,0,83,1305.4358331604
100,84,0,84,1305.4867985394
100,85,0,85,1305.5251205258
100,86,0,86,1305.55370063
100,87,0,87,1305.5753086701
100,88,0,88,1305.5925813626
100,89,0,89,1305.6080211017
100,90,0,90,1305.6239949265
100,91,0,91,1305.6427336697
100,92,0,92,1305.6663312862
100,93,0,93,1305.6967443546
100,94,0,94,1305.7357917468
100,95,0,95,1305.7851544577
100,96,0,96,1305.8463755907
100,97,0,97,1305.9208604892
100,98,0,98,1306.0098770082
100,99,0,99,1306.1145559185
100,100,0,100,1306.2358914356
100,101,0,101,1306.3747418659
100,102,0,102,1306.5318303636
100,103,0,103,1306.7077457902
100,104,0,104,1306.9029436704
100,105,0,105,1307.1177472363
100,106,0,106,1307.352348555
100,107,0,107,1307.6068097301
100,108,0,108,1307.8810641732
100,109,0,109,1308.1749179365
100,110,0,110,1308.4880510997
100,111,0,111,1308.8200192059
100,112,0,112,1309.1702547358
100,113,0,113,1309.5380686163
100,114,0,114,1309.9226517512
100,115,0,115,1310.3230765693
100,116,0,116,1310.7382985774
100,117,0,117,1311.1671579105
100,118,0,118,1311.6083808679
100,119,0,119,1312.0605814241
100,120,0,120,1312.5222627034
100,121,0,121,1312.9918184042
100,122,0,122,1313.4675341622
100,123,0,123,1313.9475888357
100,124,0,124,1314.4300557016
100,125,0,125,1314.9129035439
100,126,0,126,1315.3939976222
100,127,0,127,1315.8711005011
100,128,0,128,1316.3418727261
100,129,0,129,1316.8038733284
100,130,0,130,1317.2545601421
100,131,0,131,1317.6912899155
100,132,0,132,1318.1113182022
100,133,0,133,1318.5117990131
100,134,0,134,1318.8897842148
100,135,0,135,1319.2422226584
100,136,0,136,1319.5659590246
100,137,0,137,1319.8577323723
100,138,0,138,1320.1141743781
100,139,0,139,1320.3318072582
