x,y,z,id,temp
100,0,0,0,925.33102839511
100,1,0,1,933.98318851017
100,2,0,2,943.0047097241
100,3,0,3,951.99089833242
100,4,0,4,960.94656639673
100,5,0,5,969.87510956748
100,6,0,6,978.78010973334
100,7,0,7,987.66279859237
100,8,0,8,996.52420040123
100,9,0,9,1005.36449958
100,10,0,10,1014.1822794693
100,11,0,11,1022.9751015933
100,12,0,12,1031.7396326699
100,13,0,13,1040.4718918709
100,14,0,14,1049.1648865905
100,15,0,15,1057.8121248676
100,16,0,16,1066.4099241943
100,17,0,17,1074.9455998029
100,18,0,18,1083.4153545437
100,19,0,19,1091.8049785052
100,20,0,20,1100.1112435828
100,21,0,21,1108.3132562239
100,22,0,22,1116.414732407
100,23,0,23,1124.395731975
100,24,0,24,1132.2419937867
100,25,0,25,1139.9546755944
100,26,0,26,1147.5238683248
100,27,0,27,1154.9378744363
100,28,0,28,1162.1708772277
100,29,0,29,1169.2334075637
100,30,0,30,1176.1168168483
100,31,0,31,1182.8147122893
100,32,0,32,1189.3208084198
100,33,0,33,1195.6301648987
100,34,0,34,1201.7386961577
100,35,0,35,1207.6434211013
100,36,0,36,1213.3423883505
100,37,0,37,1218.8347408827
100,38,0,38,1224.1205787444
100,39,0,39,1229.2010814673
100,40,0,40,1234.0782339147
100,41,0,41,1238.7550018678
100,42,0,42,1243.2152861098
100,43,0,43,1247.4590737109
100,44,0,44,1251.5093956448
100,45,0,45,1255.3719741622
100,46,0,46,1259.052973297
100,47,0,47,1262.558873822
100,48,0,48,1265.8362346316
100,49,0,49,1268.9407455723
100,50,0,50,1271.8867345467
100,51,0,51,1274.6816979149
100,52,0,52,1277.2703511014
100,53,0,53,1279.7004456252
100,54,0,54,1281.9992657197
100,55,0,55,1284.1512087577
100,56,0,56,1286.1166998197
100,57,0,57,1287.9717618722
100,58,0,58,1289.7122291762
100,59,0,59,1291.2689523708
100,60,0,60,1292.7358706089
100,61,0,61,1294.0959456337
100,62,0,62,1295.3014986112
100,63,0,63,1296.436341617
100,64,0,64,1297.4525709916
100,65,0,65,1298.3634500988
100,66,0,66,1299.2199405061
100,67,0,67,1299.9338497933
100,68,0,68,1300.6027490077
100,69,0,69,1301.1824328646
100,70,0,70,1301.6870453002
100,71,0,71,1302.1444563085
100,72,0,72,1302.5077370398
100,73,0,73,1302.8492102423
100,74,0,74,1303.0994938107
100,75,0,75,1303.3304088138
100,76,0,76,1303.4964538851
100,77,0,77,1303.6369661723
100,78,0,78,1303.731957818
100,79,0,79,1303.8009669498
100,80,0,80,1303.838153528
100,81,0,81,1303.8530834462
100,82,0,82,1303.84571364
100,83,0,83,1303.8223715579
100,84,0,84,1303.7835972997
100,85,0,85,1303.7360042816
100,86,0,86,1303.6786982407
100,87,0,87,1303.6189673815
100,88,0,88,1303.555606228
100,89,0,89,1303.4939115485
100,90,0,90,1303.4364712124
100,91,0,91,1303.3810592899
100,92,0,92,1303.3408142482
100,93,0,93,1303.3005692065
100,94,0,94,1303.2854038412
100,95,0,95,1303.2727482004
100,96,0,96,1303.2842738122
100,97,0,97,1303.3086086711
100,98,0,98,1303.3487943679
100,99,0,99,1303.4182837106
100,100,0,100,1303.4877730534
100,101,0,101,1303.6091442101
100,102,0,102,1303.7305153669
100,103,0,103,1303.8873599316
100,104,0,104,1304.063392663
100,105,0,105,1304.2586501188
100,106,0,106,1304.4901999439
100,107,0,107,1304.7267308135
100,108,0,108,1305.0130372635
100,109,0,109,1305.2993437135
100,110,0,110,1305.6319033912
100,111,0,111,1305.97064896
100,112,0,112,1306.3445875415
100,113,0,113,1306.7323116206
100,114,0,114,1307.1466276385
100,115,0,115,1307.5787054725
100,116,0,116,1308.0312077194
100,117,0,117,1308.5022539355
100,118,0,118,1308.9893776128
100,119,0,119,1309.4931414352
100,120,0,120,1310.0099351351
100,121,0,121,1310.5397335498
100,122,0,122,1311.0798264897
100,123,0,123,1311.628324715
100,124,0,124,1312.1839837541
100,125,0,125,1312.743659334
100,126,0,126,1313.3057630149
100,127,0,127,1313.868591667
100,128,0,128,1314.4269372947
100,129,0,129,1314.9830914518
100,130,0,130,1315.5279394472
100,131,0,131,1316.06464561
100,132,0,132,1316.5884026103
100,133,0,133,1317.0919302141
100,134,0,134,1317.5852518775
100,135,0,135,1318.0428934083
100,136,0,136,1318.4835733823
100,137,0,137,1318.8910064322
100,138,0,138,1319.263728618
100,139,0,139,1319.6129071792
100,140,0,140,1319.8970983584
100,141,0,141,1320.1514599462
