x,y,z,id,temp
100,0,0,0,925.38142136502
100,1,0,1,933.98026272542
100,2,0,2,942.9980833056
100,3,0,3,951.98138786787
100,4,0,4,960.93430492883
100,5,0,5,969.86082530601
100,6,0,6,978.76419404821
100,7,0,7,987.64620553791
100,8,0,8,996.50804137668
100,9,0,9,1005.3492572332
100,10,0,10,1014.1687222981
100,11,0,11,1022.9633750625
100,12,0,12,1031.729266296
100,13,0,13,1040.4617050914
100,14,0,14,1049.1547154997
100,15,0,15,1057.8014118184
100,16,0,16,1066.3940933709
100,17,0,17,1074.924369137
100,18,0,18,1083.3832750933
100,19,0,19,1091.7586912336
100,20,0,20,1100.0425114832
100,21,0,21,1108.2251785741
100,22,0,22,1116.292874091
100,23,0,23,1124.2368841902
100,24,0,24,1132.0478892664
100,25,0,25,1139.7124656089
100,26,0,26,1147.2252028822
100,27,0,27,1154.5750532587
100,28,0,28,1161.7528079479
100,29,0,29,1168.7569414683
100,30,0,30,1175.5736986285
100,31,0,31,1182.2003512968
100,32,0,32,1188.635492431
100,33,0,33,1194.8748281466
100,34,0,34,1200.9129904573
100,35,0,35,1206.7450290121
100,36,0,36,1212.374413671
100,37,0,37,1217.8002667268
100,38,0,38,1223.0224642134
100,39,0,39,1228.0415982248
100,40,0,40,1232.8589337314
100,41,0,41,1237.4763610675
100,42,0,42,1241.8963452237
100,43,0,43,1246.1218729993
100,44,0,44,1250.1563989623
100,45,0,45,1254.0037910269
100,46,0,46,1257.6604527207
100,47,0,47,1261.1371444467
100,48,0,48,1264.439154449
100,49,0,49,1267.5715879455
100,50,0,50,1270.5397192317
100,51,0,51,1273.3363920159
100,52,0,52,1275.9777556464
100,53,0,53,1278.4706326957
100,54,0,54,1280.8137342623
100,55,0,55,1283.0098559234
100,56,0,56,1285.0741849175
100,57,0,57,1287.0025716281
100,58,0,58,1288.8018848655
100,59,0,59,1290.4862060188
100,60,0,60,1292.0416771339
100,61,0,61,1293.4932247441
100,62,0,62,1294.8321885465
100,63,0,63,1296.0720530563
100,64,0,64,1297.2123571197
100,65,0,65,1298.2613828525
100,66,0,66,1299.2210231034
100,67,0,67,1300.0995775585
100,68,0,68,1300.8965403874
100,69,0,69,1301.6242982651
100,70,0,70,1302.2764067058
100,71,0,71,1302.8691947746
100,72,0,72,1303.3969133927
100,73,0,73,1303.8699834475
100,74,0,74,1304.2928182036
100,75,0,75,1304.663050707
100,76,0,76,1304.9921171663
100,77,0,77,1305.280663619
100,78,0,78,1305.5302445591
100,79,0,79,1305.7487263232
100,80,0,80,1305.9380843418
100,81,0,81,1306.0988842167
100,82,0,82,1306.2380206465
100,83,0,83,1306.3581848902
100,84,0,84,1306.4605522776
100,85,0,85,1306.54888278
100,86,0,86,1306.6266366727
100,87,0,87,1306.6961799662
100,88,0,88,1306.7595573302
100,89,0,89,1306.8193138696
100,90,0,90,1306.8779733893
100,91,0,91,1306.937505248
100,92,0,92,1306.9997820883
100,93,0,93,1307.066795717
100,94,0,94,1307.1407740808
100,95,0,95,1307.2227839958
100,96,0,96,1307.3142326872
100,97,0,97,1307.4164162177
100,98,0,98,1307.5305166594
100,99,0,99,1307.6576034076
100,100,0,100,1307.7986280924
100,101,0,101,1307.955789971
100,102,0,102,1308.1284867062
100,103,0,103,1308.3171799811
100,104,0,104,1308.5222299681
100,105,0,105,1308.7438854815
100,106,0,106,1308.9822722665
100,107,0,107,1309.2373987906
100,108,0,108,1309.5106828347
100,109,0,109,1309.8009561765
100,110,0,110,1310.1072825665
100,111,0,111,1310.4292007289
100,112,0,112,1310.766149574
100,113,0,113,1311.1186229624
100,114,0,114,1311.4855068356
100,115,0,115,1311.8649617406
100,116,0,116,1312.2560257324
100,117,0,117,1312.6582579869
100,118,0,118,1313.070716083
100,119,0,119,1313.4910667669
100,120,0,120,1313.918008173
100,121,0,121,1314.3507402214
100,122,0,122,1314.7869793739
100,123,0,123,1315.2250180454
100,124,0,124,1315.6630744059
100,125,0,125,1316.0991329033
100,126,0,126,1316.5314880129
100,127,0,127,1316.9570856081
100,128,0,128,1317.3745216621
100,129,0,129,1317.781498881
100,130,0,130,1318.1742391675
100,131,0,131,1318.5525348839
100,132,0,132,1318.9106736432
100,133,0,133,1319.2489190767
100,134,0,134,1319.5621093624
100,135,0,135,1319.8489526441
100,136,0,136,1320.1051716687
100,137,0,137,1320.3286845593
100,138,0,138,1320.5149174672
100,139,0,139,1320.6626379171
100,140,0,140,1320.7649207528
100,141,0,141,1320.8238893798
100,142,0,142,1320.8273497666
100,143,0,143,1320.779676528
100,144,0,144,1320.6730350126
100,145,0,145,1320.5024070448
100,146,0,146,1320.2680810993
100,147,0,147,1319.9608268092
100,148,0,148,1319.5771511226
100,149,0,149,1319.1157526663
100,150,0,150,1318.5710253236
100,151,0,151,1317.9317433145
100,152,0,152,1317.1993312268
100,153,0,153,1316.3682887264
100,154,0,154,1315.4329156683
100,155,0,155,1314.3870672449
100,156,0,156,1313.2206360441
100,157,0,157,1311.9322595408
100,158,0,158,1310.5155998545
100,159,0,159,1308.964150881
100,160,0,160,1307.2712536749
100,161,0,161,1305.4301102245
100,162,0,162,1303.4337963776
100,163,0,163,1301.2752768782
100,164,0,164,1298.9474227762
100,165,0,165,1296.4430303368
100,166,0,166,1293.754841284
100,167,0,167,1290.8704404873
100,168,0,168,1287.7843544963
100,169,0,169,1284.4910690173
100,170,0,170,1280.9832944054
100,171,0,171,1277.2490987812
100,172,0,172,1273.2761640837
100,173,0,173,1269.0656946252
100,174,0,174,1264.6011606042
100,175,0,175,1259.8753610144
100,176,0,176,1254.8833533145
100,177,0,177,1249.608820294
100,178,0,178,1244.0491739965
100,179,0,179,1238.1934727263
100,180,0,180,1232.0262950479
100,181,0,181,1225.5464703487
100,182,0,182,1218.7411416298
100,183,0,183,1211.588511612
100,184,0,184,1204.0834050281
100,185,0,185,1196.2083446862
100,186,0,186,1187.9417870271
100,187,0,187,1179.2561618811
100,188,0,188,1170.1146048207
100,189,0,189,1160.4660557703
100,190,0,190,1150.2298023365
100,191,0,191,1139.2936554966
100,192,0,192,1127.5062165969
100,193,0,193,1114.6068541556
100,194,0,194,1100.2443081259
100,195,0,195,1083.863460393
100,196,0,196,1064.7217179604
100,197,0,197,1041.6792306385
100,198,0,198,1012.9991557473
100,199,0,199,975.43673156242
100,200,0,200,919.82082025185
