x,y,z,id,temp
0,100,0,0,925.33614178915
1,100,0,1,934.32211644974
2,100,0,2,944.1225341779
3,100,0,3,954.07734079216
4,100,0,4,964.13222157597
5,100,0,5,974.51377927685
6,100,0,6,985.12280316307
7,100,0,7,995.85685299276
8,100,0,8,1006.7308542564
9,100,0,9,1017.7443818831
10,100,0,10,1028.865601015
11,100,0,11,1040.0642390484
12,100,0,12,1051.3144733838
13,100,0,13,1062.5945485646
14,100,0,14,1073.8817405686
15,100,0,15,1085.1616783995
16,100,0,16,1096.4219923185
17,100,0,17,1107.6441563076
18,100,0,18,1118.8109399084
19,100,0,19,1129.9008730789
20,100,0,20,1140.9048637217
21,100,0,21,1151.7926441845
22,100,0,22,1162.5616486823
23,100,0,23,1173.1827797351
24,100,0,24,1183.6298138818
25,100,0,25,1193.8994150032
26,100,0,26,1203.9727974304
27,100,0,27,1213.8271567503
28,100,0,28,1223.4215646827
29,100,0,29,1232.7638063933
30,100,0,30,1241.8377160912
31,100,0,31,1250.6285460386
32,100,0,32,1259.123066567
33,100,0,33,1267.3097908394
34,100,0,34,1275.1792270556
35,100,0,35,1282.7239015901
36,100,0,36,1289.9384470556
37,100,0,37,1296.8198011622
38,100,0,38,1303.3668572584
39,100,0,39,1309.5803753282
40,100,0,40,1315.4632571817
41,100,0,41,1321.0202936389
42,100,0,42,1326.2250526076
43,100,0,43,1331.0779324618
44,100,0,44,1335.6177885663
45,100,0,45,1339.8543984755
46,100,0,46,1343.7983046224
47,100,0,47,1347.4606864378
48,100,0,48,1350.7583417843
49,100,0,49,1353.7817772056
50,100,0,50,1356.5545138457
51,100,0,51,1359.0890853248
52,100,0,52,1361.3003089396
53,100,0,53,1363.2652864246
54,100,0,54,1365.0271594177
55,100,0,55,1366.5625708435
56,100,0,56,1367.8115414584
57,100,0,57,1368.8916868681
58,100,0,58,1369.796860986
59,100,0,59,1370.4236056565
60,100,0,60,1370.9146635993
61,100,0,61,1371.2443552898
62,100,0,62,1371.3400134396
63,100,0,63,1371.3281997295
64,100,0,64,1371.1358144159
65,100,0,65,1370.7824034569
66,100,0,66,1370.3458194362
67,100,0,67,1369.6894145173
68,100,0,68,1368.9622448504
69,100,0,69,1368.0948109739
70,100,0,70,1367.1054041457
71,100,0,71,1366.0393063839
72,100,0,72,1364.8136128824
73,100,0,73,1363.5503969345
74,100,0,74,1362.1242804288
75,100,0,75,1360.6610860639
76,100,0,76,1359.0737091295
77,100,0,77,1357.4325405534
78,100,0,78,1355.6954705655
79,100,0,79,1353.8957814411
