x,y,z,id,temp
100,0,0,0,925.33103851546
100,1,0,1,933.98265803558
100,2,0,2,943.00290695772
100,3,0,3,951.98766200773
100,4,0,4,960.94202356897
100,5,0,5,969.86967025885
100,6,0,6,978.774389317
100,7,0,7,987.65757519718
100,8,0,8,996.52028514388
100,9,0,9,1005.3626053302
100,10,0,10,1014.1829241336
100,11,0,11,1022.9784977822
100,12,0,12,1031.745593646
100,13,0,13,1040.4797644443
100,14,0,14,1049.1735883712
100,15,0,15,1057.820116894
100,16,0,16,1066.4151718049
100,17,0,17,1074.9446243331
100,18,0,18,1083.404352468
100,19,0,19,1091.7802131394
100,20,0,20,1100.0686484663
100,21,0,21,1108.2462438843
100,22,0,22,1116.318356262
100,23,0,23,1124.2649924852
100,24,0,24,1132.0698638282
100,25,0,25,1139.7362028533
100,26,0,26,1147.2540722057
100,27,0,27,1154.6111292996
100,28,0,28,1161.7831186093
100,29,0,29,1168.7803375268
100,30,0,30,1175.5957470441
100,31,0,31,1182.2231916096
100,32,0,32,1188.6574696711
100,33,0,33,1194.8943844501
100,34,0,34,1200.9307746299
100,35,0,35,1206.7645252927
100,36,0,36,1212.3945599594
100,37,0,37,1217.8208149638
100,38,0,38,1223.0441976396
100,39,0,39,1228.0665299531
100,40,0,40,1232.8904792908
100,41,0,41,1237.5194781512
100,42,0,42,1241.9386043348
100,43,0,43,1246.1484965291
100,44,0,44,1250.1719668142
100,45,0,45,1254.0149332449
100,46,0,46,1257.6836766905
100,47,0,47,1261.1847262337
100,48,0,48,1264.4674210542
100,49,0,49,1267.5853545456
100,50,0,50,1270.5523735878
100,51,0,51,1273.3757578771
100,52,0,52,1276.0032289784
100,53,0,53,1278.4803562445
100,54,0,54,1280.8330879331
100,55,0,55,1283.046718068
100,56,0,56,1285.0839045044
100,57,0,57,1287.016630102
100,58,0,58,1288.840965234
100,59,0,59,1290.4915218623
100,60,0,60,1292.0571095385
100,61,0,61,1293.521601937
100,62,0,62,1294.8397547747
100,63,0,63,1296.0908761429
100,64,0,64,1297.2295036133
100,65,0,65,1298.2679875379
100,66,0,66,1299.2547617111
100,67,0,67,1300.1055831718
100,68,0,68,1300.9133139375
100,69,0,69,1301.6356337823
100,70,0,70,1302.2856819636
100,71,0,71,1302.8902890756
100,72,0,72,1303.4036038145
100,73,0,73,1303.8957119033
100,74,0,74,1304.2985239034
100,75,0,75,1304.6821138718
100,76,0,76,1305.0013246841
100,77,0,77,1305.2947104507
100,78,0,78,1305.5420545223
100,79,0,79,1305.7623929971
100,80,0,80,1305.9496558791
100,81,0,81,1306.1127732981
100,82,0,82,1306.2516985351
100,83,0,83,1306.3719386468
100,84,0,84,1306.4741254679
100,85,0,85,1306.5642264537
100,86,0,86,1306.6410160448
100,87,0,87,1306.7120253797
100,88,0,88,1306.7743808576
100,89,0,89,1306.8356145456
100,90,0,90,1306.8939844149
100,91,0,91,1306.9530406158
100,92,0,92,1307.0172286645
100,93,0,93,1307.0814167131
100,94,0,94,1307.1590646592
100,95,0,95,1307.2380595378
100,96,0,96,1307.3320018486
100,97,0,97,1307.4338620847
100,98,0,98,1307.5461842069
100,99,0,99,1307.6778473512
100,100,0,100,1307.8095104954
100,101,0,101,1307.9766061474
100,102,0,102,1308.1437017994
100,103,0,103,1308.3355918606
100,104,0,104,1308.5408936374
100,105,0,105,1308.7595614058
100,106,0,106,1309.0034614478
100,107,0,107,1309.2508127354
100,108,0,108,1309.5326523227
100,109,0,109,1309.81449191
100,110,0,110,1310.1280031855
100,111,0,111,1310.4457502218
100,112,0,112,1310.7870095384
100,113,0,113,1311.1374788788
100,114,0,114,1311.5050989241
100,115,0,115,1311.884174609
100,116,0,116,1312.2756720182
100,117,0,117,1312.6784475028
100,118,0,118,1313.0901378372
100,119,0,119,1313.5110550258
100,120,0,120,1313.9380061099
100,121,0,121,1314.3709794368
100,122,0,122,1314.8070088746
100,123,0,123,1315.2455335691
100,124,0,124,1315.6832395769
100,125,0,125,1316.1204863788
100,126,0,126,1316.551303183
100,127,0,127,1316.9802001483
100,128,0,128,1317.3944699113
100,129,0,129,1317.8044775022
100,130,0,130,1318.1948270204
100,131,0,131,1318.5734504931
100,132,0,132,1318.9334242987
100,133,0,133,1319.2682587318
100,134,0,134,1319.5904100909
100,135,0,135,1319.8682648151
100,136,0,136,1320.1279126455
100,137,0,137,1320.352140516
100,138,0,138,1320.5337549104
100,139,0,139,1320.689491368
100,140,0,140,1320.7864241335
100,141,0,141,1320.840565102
100,142,0,142,1320.8585348606
100,143,0,143,1320.7994192183
100,144,0,144,1320.6901088106
100,145,0,145,1320.5320129713
100,146,0,146,1320.2888526469
100,147,0,147,1319.9760192937
100,148,0,148,1319.5997662302
100,149,0,149,1319.1453895141
100,150,0,150,1318.585499379
100,151,0,151,1317.9458361547
100,152,0,152,1317.220841354
100,153,0,153,1316.4006565223
100,154,0,154,1315.4498377774
