x,y,z,id,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8
100,59,0,59,5.4211973371962e-07,1.0891618187754e-06,4.9096414019664e-07,3.848306289256e-07,3.2064789608263e-07,4.4516223792039e-08,1.7335351711263e-08,2.1892373990911e-09
100,60,0,60,5.4523186612889e-07,1.0952946155837e-06,4.9347294088141e-07,3.8618978301113e-07,3.2293959089626e-07,4.4971027065912e-08,1.7524196463044e-08,2.2133225083207e-09
100,61,0,61,5.4828732735299e-07,1.1012945210677e-06,4.9592008961143e-07,3.8744843345164e-07,3.2511053578035e-07,4.5413204015737e-08,1.7708844223906e-08,2.2368912841466e-09
100,62,0,62,5.5128788452095e-07,1.1071662387835e-06,4.9830818723352e-07,3.8861184198262e-07,3.2716238957176e-07,4.5842649543066e-08,1.7889257585884e-08,2.2599388691876e-09
100,63,0,63,5.5423516110734e-07,1.1129141536025e-06,5.0063967080964e-07,3.8968512755418e-07,3.2909691485949e-07,4.6259255542178e-08,1.8065396908683e-08,2.2824602985362e-09
100,64,0,64,5.5713075000107e-07,1.1185425581717e-06,5.0291690817756e-07,3.9067330755718e-07,3.3091604104661e-07,4.6662923567881e-08,1.8237223862643e-08,2.3044507427363e-09
100,65,0,65,5.5997621979751e-07,1.1240556695787e-06,5.0514220712185e-07,3.9158129525006e-07,3.326218571542e-07,4.7053565660152e-08,1.8404701559947e-08,2.3259055151536e-09
100,66,0,66,5.6277311733144e-07,1.1294576381988e-06,5.073178212145e-07,3.9241389641886e-07,3.3421660218428e-07,4.7431104794126e-08,1.8567794595672e-08,2.3468200741503e-09
100,67,0,67,5.6552379120953e-07,1.1347541205641e-06,5.0944657767931e-07,3.9317598783819e-07,3.3570300640587e-07,4.7795557813518e-08,1.8726495949382e-08,2.3671920445542e-09
100,68,0,68,5.6822893822782e-07,1.1399475949429e-06,5.1153001324485e-07,3.9387193130617e-07,3.3708316428129e-07,4.8146783551864e-08,1.8880745739139e-08,2.3870151232921e-09
100,69,0,69,5.7088929869693e-07,1.1450406268244e-06,5.135696824222e-07,3.9450605792476e-07,3.3835942235267e-07,4.8484667211413e-08,1.9030489022193e-08,2.4062833854247e-09
100,70,0,70,5.7350704043689e-07,1.1500384849616e-06,5.155681941305e-07,3.9508288868361e-07,3.3953483849777e-07,4.8809250724437e-08,1.9175719842473e-08,2.4249946418443e-09
100,71,0,71,5.7608366903394e-07,1.1549451600818e-06,5.1752762931599e-07,3.9560667020063e-07,3.4061227023723e-07,4.9120521128404e-08,1.9316411901376e-08,2.443145174502e-09
100,72,0,72,5.7862123224842e-07,1.1597656506592e-06,5.1945044944901e-07,3.9608160017924e-07,3.4159480307647e-07,4.9418522525787e-08,1.9452554906599e-08,2.4607323629618e-09
100,73,0,73,5.8112110935359e-07,1.1645036815146e-06,5.2133859668494e-07,3.9651164484966e-07,3.4248536728889e-07,4.9703252569874e-08,1.9584122156935e-08,2.4777525702156e-09
100,74,0,74,5.8358314079971e-07,1.1691600879785e-06,5.2319285867442e-07,3.9690049473824e-07,3.4328664975907e-07,4.9974606990205e-08,1.9711050357318e-08,2.4941997613969e-09
100,75,0,75,5.8600966231391e-07,1.1737403896145e-06,5.2501585884042e-07,3.9725205208226e-07,3.4400206346042e-07,5.023269924804e-08,1.983334400605e-08,2.5100724399723e-09
100,76,0,76,5.8840214414533e-07,1.1782484667557e-06,5.2680955970967e-07,3.9756997521362e-07,3.4463481710822e-07,5.0477583012293e-08,1.9950985913676e-08,2.5253676834694e-09
100,77,0,77,5.9076196563971e-07,1.182688021242e-06,5.2857584116054e-07,3.9785779379262e-07,3.4518813799338e-07,5.0709318841132e-08,2.0063958896069e-08,2.5400826259603e-09
100,78,0,78,5.930907160724e-07,1.1870631386607e-06,5.3031672333226e-07,3.9811893713605e-07,3.4566530806804e-07,5.0927994240377e-08,2.0172252729235e-08,2.5542149177366e-09
100,79,0,79,5.9539091560484e-07,1.1913796311766e-06,5.3203489997844e-07,3.9835677848165e-07,3.4606968247358e-07,5.1133761873705e-08,2.027587922171e-08,2.567763783692e-09
100,80,0,80,5.9766110008039e-07,1.1956358695357e-06,5.3373010886974e-07,3.9857429039548e-07,3.464042624805e-07,5.1326543303668e-08,2.0374761567267e-08,2.5807222920507e-09
100,81,0,81,5.9990379560947e-07,1.1998376632519e-06,5.3540501951338e-07,3.9877464084792e-07,3.4667251853317e-07,5.1506532202979e-08,2.046891987846e-08,2.5930903456827e-09
100,82,0,82,6.0212047203699e-07,1.2039888353969e-06,5.3706150557402e-07,3.9896079439708e-07,3.4687776975182e-07,5.1673861737417e-08,2.0558349473565e-08,2.6048660705078e-09
100,83,0,83,6.0431427271604e-07,1.20809631656e-06,5.3870266975854e-07,3.9913569003942e-07,3.4702326506905e-07,5.1828741776904e-08,2.0643074169266e-08,2.6160494100027e-09
100,84,0,84,6.0648308866829e-07,1.2121572331196e-06,5.4032770478405e-07,3.9930186979445e-07,3.4711227446717e-07,5.1971166689111e-08,2.0723031180528e-08,2.626634970139e-09
100,85,0,85,6.0862941105429e-07,1.2161772682785e-06,5.4193919246939e-07,3.994620187202e-07,3.4714807966781e-07,5.2101355171769e-08,2.0798241489471e-08,2.6366226463519e-09
100,86,0,86,6.1075470115779e-07,1.220160165981e-06,5.4353893452285e-07,3.99618651454e-07,3.4713389891576e-07,5.22194844663e-08,2.0868708014249e-08,2.6460111840263e-09
100,87,0,87,6.1286018965989e-07,1.2241092204026e-06,5.4512854364162e-07,3.9977416012947e-07,3.4707290653367e-07,5.2325731771355e-08,2.0934432073827e-08,2.6547992938882e-09
100,88,0,88,6.1494854888991e-07,1.2280304098017e-06,5.4671070639076e-07,3.9993092551801e-07,3.4696806853406e-07,5.242031570421e-08,2.0995434387306e-08,2.6629870044259e-09
100,89,0,89,6.1701876905703e-07,1.2319227886317e-06,5.4828531003312e-07,4.0009099185052e-07,3.4682265069483e-07,5.2503368180151e-08,2.1051689511345e-08,2.670571339557e-09
100,90,0,90,6.1907206135746e-07,1.2357895365085e-06,5.4985388434616e-07,4.0025642054616e-07,3.4663969984007e-07,5.2575101170564e-08,2.110320734018e-08,2.6775517095316e-09
100,91,0,91,6.2111036696241e-07,1.2396351802049e-06,5.514184962119e-07,4.0042922485904e-07,3.4642208137513e-07,5.2635740916504e-08,2.1150005242956e-08,2.6839280029225e-09
100,92,0,92,6.2313588930109e-07,1.2434647295962e-06,5.5298140882113e-07,4.0061136415248e-07,3.4617249647395e-07,5.2685506846631e-08,2.1192099864095e-08,2.6897000915791e-09
100,93,0,93,6.2514710892476e-07,1.2472761130194e-06,5.5454197687396e-07,4.0080435907178e-07,3.4589416481445e-07,5.2724597191109e-08,2.1229482433002e-08,2.6948663339034e-09
100,94,0,94,6.271459299461e-07,1.2510736881596e-06,5.5610216258002e-07,4.0100990600632e-07,3.455897048315e-07,5.2753251974518e-08,2.1262174744151e-08,2.6994270164855e-09
100,95,0,95,6.2913364010265e-07,1.2548606111714e-06,5.5766342630332e-07,4.012295518593e-07,3.4526173139741e-07,5.2771705446964e-08,2.1290193665912e-08,2.7033821354722e-09
100,96,0,96,6.3111228740351e-07,1.258641466598e-06,5.5922781403835e-07,4.014648579446e-07,3.4491260612241e-07,5.2780184176911e-08,2.1313558779498e-08,2.7067319488043e-09
100,97,0,97,6.3308205693974e-07,1.2624172389157e-06,5.6079586937844e-07,4.01717069011e-07,3.4454493790254e-07,5.2778921032969e-08,2.1332282144428e-08,2.7094762504399e-09
100,98,0,98,6.3504272065901e-07,1.2661880476179e-06,5.6236774886352e-07,4.0198722896946e-07,3.441613332079e-07,5.2768166350349e-08,2.1346380116334e-08,2.7116151268758e-09
100,99,0,99,6.3699621080738e-07,1.2699581228348e-06,5.6394530917476e-07,4.0227658669726e-07,3.4376386933465e-07,5.27481503688e-08,2.1355875914351e-08,2.7131492165172e-09
100,100,0,100,6.3894420628215e-07,1.2737311825205e-06,5.6553018943049e-07,4.025863001193e-07,3.4335455786159e-07,5.2719094735841e-08,2.1360789724111e-08,2.714079026656e-09
100,101,0,101,6.408854327857e-07,1.277505136527e-06,5.6712155758185e-07,4.029168916088e-07,3.4293589434238e-07,5.2681274956123e-08,2.1361144208081e-08,2.714405121063e-09
100,102,0,102,6.4282117623655e-07,1.2812828106262e-06,5.6872063510859e-07,4.0326921326945e-07,3.4250973450042e-07,5.2634922406906e-08,2.1356964113028e-08,2.7141283592182e-09
100,103,0,103,6.4475247719769e-07,1.2850665005178e-06,5.7032840499866e-07,4.036439842313e-07,3.4207786513531e-07,5.2580267542893e-08,2.1348274236387e-08,2.7132496480285e-09
100,104,0,104,6.4668194934824e-07,1.2888615806768e-06,5.7194716436155e-07,4.04042229774e-07,3.4164164171703e-07,5.2517484825777e-08,2.1335091891024e-08,2.7117696583895e-09
100,105,0,105,6.4860752433971e-07,1.2926641020838e-06,5.7357519364165e-07,4.0446379881392e-07,3.4120322935548e-07,5.2446875085984e-08,2.1317451894176e-08,2.709689813096e-09
100,106,0,106,6.5052999844316e-07,1.2964757027315e-06,5.7521314497141e-07,4.049090676185e-07,3.4076407710494e-07,5.2368656396463e-08,2.1295380844708e-08,2.7070113049457e-09
100,107,0,107,6.5245200053001e-07,1.3003016418357e-06,5.7686322947924e-07,4.0537884128076e-07,3.4032517849302e-07,5.2282976260246e-08,2.1268894758503e-08,2.7037350000129e-09
100,108,0,108,6.5437190763156e-07,1.3041385972325e-06,5.7852391786515e-07,4.0587267126378e-07,3.3988818289711e-07,5.2190115201255e-08,2.1238032518116e-08,2.6998627177714e-09
100,109,0,109,6.562900742524e-07,1.3079871320309e-06,5.8019534493563e-07,4.0639053202259e-07,3.3945422039323e-07,5.2090279132667e-08,2.1202822596457e-08,2.6953959291081e-09
100,110,0,110,6.5820725615267e-07,1.3118485490829e-06,5.8187794970572e-07,4.0693241905402e-07,3.3902421550365e-07,5.1983650668936e-08,2.1163291194084e-08,2.6903361100368e-09
100,111,0,111,6.6012546671114e-07,1.3157266671945e-06,5.8357326909679e-07,4.0749868799614e-07,3.3859877087858e-07,5.1870346205812e-08,2.111945201586e-08,2.6846842979842e-09
100,112,0,112,6.6204333104148e-07,1.3196183397611e-06,5.852797586109e-07,4.0808849032506e-07,3.3817890033243e-07,5.1750607362936e-08,2.1071346315351e-08,2.6784427606173e-09
100,113,0,113,6.6396060114811e-07,1.3235226334312e-06,5.8699682571361e-07,4.0870123162169e-07,3.3776527010718e-07,5.1624616727095e-08,2.1019004957861e-08,2.6716133497428e-09
100,114,0,114,6.6587921694473e-07,1.327443047732e-06,5.8872582807967e-07,4.0933703217001e-07,3.3735810887252e-07,5.1492450632137e-08,2.0962438434781e-08,2.6641972445818e-09
100,115,0,115,6.6779772958393e-07,1.3313760309283e-06,5.9046497375924e-07,4.0999466066399e-07,3.3695795708756e-07,5.1354316983164e-08,2.0901687592489e-08,2.6561968562184e-09
100,116,0,116,6.6971578434841e-07,1.3353202120148e-06,5.9221342175393e-07,4.1067319351993e-07,3.3656504542365e-07,5.1210358753948e-08,2.083678075388e-08,2.6476141343128e-09
100,117,0,117,6.7163358184133e-07,1.339275295977e-06,5.9397079299801e-07,4.1137182765796e-07,3.3617938764851e-07,5.1060680024333e-08,2.0767740385113e-08,2.6384509165268e-09
100,118,0,118,6.7355271077698e-07,1.3432438248538e-06,5.9573796919294e-07,4.1209027758365e-07,3.3580072708452e-07,5.0905301665893e-08,2.0694571535739e-08,2.6287084839046e-09
100,119,0,119,6.7547147368289e-07,1.3472214247327e-06,5.9751271591467e-07,4.1282680197507e-07,3.3542900219701e-07,5.0744382322125e-08,2.0617314715118e-08,2.6183895592351e-09
100,120,0,120,6.7738922439637e-07,1.3512058491867e-06,5.9929373928629e-07,4.1358001610902e-07,3.3506388038819e-07,5.0578007481618e-08,2.0535993983561e-08,2.6074962071548e-09
100,121,0,121,6.7930680839156e-07,1.355197911378e-06,6.0108110904088e-07,4.1434911264726e-07,3.3470476283014e-07,5.0406174607061e-08,2.0450615686903e-08,2.5960300035994e-09
100,122,0,122,6.8122271773947e-07,1.3591934199211e-06,6.0287262383216e-07,4.1513214126583e-07,3.3435107201207e-07,5.022897270826e-08,2.0361210536373e-08,2.5839934245905e-09
100,123,0,123,6.8313594983909e-07,1.3631891879423e-06,6.0466652467917e-07,4.1592730432645e-07,3.3400203253718e-07,5.0046441937383e-08,2.0267798889517e-08,2.5713885912017e-09
100,124,0,124,6.8504622935202e-07,1.3671835004792e-06,6.0646170615154e-07,4.1673306306505e-07,3.3365667161816e-07,4.9858567266522e-08,2.0170390886196e-08,2.5582173879918e-09
100,125,0,125,6.8695368456727e-07,1.3711754392632e-06,6.0825741371533e-07,4.1754800510465e-07,3.3331385505995e-07,4.9665292544793e-08,2.0068989717359e-08,2.5444815801826e-09
100,126,0,126,6.8885666973099e-07,1.3751603006341e-06,6.1005117086882e-07,4.1836980620745e-07,3.32972384906e-07,4.9466625639712e-08,1.9963616997588e-08,2.5301835897147e-09
100,127,0,127,6.9075402942625e-07,1.3791343759348e-06,6.1184094669989e-07,4.1919632103556e-07,3.3263088583537e-07,4.9262522185535e-08,1.9854282875912e-08,2.5153254666421e-09
100,128,0,128,6.9264497499814e-07,1.3830946883107e-06,6.1362503522115e-07,4.20025516507e-07,3.3228781156288e-07,4.9052895381818e-08,1.9740990192513e-08,2.4999091219848e-09
100,129,0,129,6.9452769162703e-07,1.3870360711075e-06,6.1540073442702e-07,4.2085479645576e-07,3.3194148510921e-07,4.8837681135419e-08,1.9623749489043e-08,2.4839367256757e-09
100,130,0,130,6.9640032017945e-07,1.3909532514664e-06,6.1716529503715e-07,4.2168149784536e-07,3.3159007121763e-07,4.8616787595438e-08,1.9502566272252e-08,2.467410318761e-09
100,131,0,131,6.982615180706e-07,1.3948420319939e-06,6.189164559696e-07,4.2250316666491e-07,3.312315648235e-07,4.839007053934e-08,1.937743651441e-08,2.4503317542536e-09
100,132,0,132,7.0010984446414e-07,1.3986980056874e-06,6.2065186358071e-07,4.2331725595274e-07,3.3086380416573e-07,4.8157363462118e-08,1.9248354228111e-08,2.4327029125132e-09
100,133,0,133,7.0194291189902e-07,1.4025148075164e-06,6.2236828743451e-07,4.2412072417502e-07,3.3048448578339e-07,4.7918514864297e-08,1.9115318985552e-08,2.4145258406092e-09
100,134,0,134,7.0375829839019e-07,1.4062860417605e-06,6.240624965405e-07,4.2491049856986e-07,3.3009114381237e-07,4.7673340285735e-08,1.8978324442702e-08,2.3958024504045e-09
100,135,0,135,7.0555345057679e-07,1.4100051015013e-06,6.2573118148584e-07,4.2568343096664e-07,3.2968114458941e-07,4.7421627287259e-08,1.8837360295049e-08,2.3765345993098e-09
100,136,0,136,7.0732514690894e-07,1.4136640956684e-06,6.2737047958985e-07,4.264360569496e-07,3.2925169328452e-07,4.7163157678202e-08,1.8692416629353e-08,2.356724171771e-09
100,137,0,137,7.0906971726688e-07,1.4172543484844e-06,6.2897620943292e-07,4.2716472824453e-07,3.2879982949735e-07,4.6897693342884e-08,1.8543480611806e-08,2.3363730047228e-09
100,138,0,138,7.1078334506968e-07,1.4207670609903e-06,6.3054417544189e-07,4.2786577293344e-07,3.2832241614882e-07,4.6624961261684e-08,1.8390534219994e-08,2.3154828672625e-09
100,139,0,139,7.1246190190665e-07,1.424193020804e-06,6.3207004694381e-07,4.2853543459202e-07,3.2781613448845e-07,4.6344659854384e-08,1.8233556143644e-08,2.2940555079365e-09
100,140,0,140,7.1410039352485e-07,1.4275215582843e-06,6.3354890900813e-07,4.2916965647083e-07,3.2727749476271e-07,4.6056479250022e-08,1.8072525121287e-08,2.2720926971659e-09
100,141,0,141,7.156929328736e-07,1.4307405887406e-06,6.3497530118205e-07,4.2976411859276e-07,3.2670282887459e-07,4.5760094256492e-08,1.7907418043605e-08,2.2495961851588e-09
100,142,0,142,7.1723281282832e-07,1.433836866956e-06,6.3634335176579e-07,4.3031431844776e-07,3.2608827628662e-07,4.5455155166296e-08,1.7738208652018e-08,2.2265676943316e-09
100,143,0,143,7.1871218351022e-07,1.4367954907811e-06,6.3764658725263e-07,4.3081549767457e-07,3.2542978822394e-07,4.5141294728347e-08,1.7564868690643e-08,2.2030089409778e-09
100,144,0,144,7.2012179132152e-07,1.4395995551014e-06,6.3887781387113e-07,4.3126261142708e-07,3.2472312827671e-07,4.4818129500113e-08,1.7387367931208e-08,2.1789216389078e-09
