id,temp,x,y,z
0,925.08209545939,0,100,0
1,934.1934546062,1,100,0
2,943.81922878471,2,100,0
3,953.68243137338,3,100,0
4,963.83090542519,4,100,0
5,974.21228452298,5,100,0
6,984.80706375916,6,100,0
7,995.58164056437,7,100,0
8,1006.5077666338,8,100,0
9,1017.5557353149,9,100,0
10,1028.6991119582,10,100,0
11,1039.9131872256,11,100,0
12,1051.1758792216,12,100,0
13,1062.4669424663,13,100,0
14,1073.7678246749,14,100,0
15,1085.0610982527,15,100,0
16,1096.3300857282,16,100,0
17,1107.5584112956,17,100,0
18,1118.7296534846,18,100,0
19,1129.8270535178,19,100,0
20,1140.8333333517,20,100,0
21,1151.7306169212,21,100,0
22,1162.5004590619,22,100,0
23,1173.1239658324,23,100,0
24,1183.5819870997,24,100,0
25,1193.8553575098,25,100,0
26,1203.9251635865,26,100,0
27,1213.7730177078,27,100,0
28,1223.3813236737,28,100,0
29,1232.7335217417,29,100,0
30,1241.8143033258,30,100,0
31,1250.6097876132,31,100,0
32,1259.1076549866,32,100,0
33,1267.297235654,33,100,0
34,1275.1695557635,34,100,0
35,1282.7173464869,35,100,0
36,1289.9350231401,36,100,0
37,1296.8186411117,37,100,0
38,1303.365833705,38,100,0
39,1309.5757350122,39,100,0
40,1315.4488895985,40,100,0
41,1320.9871505589,41,100,0
42,1326.1935682331,42,100,0
43,1331.0722728979,43,100,0
44,1335.6283554094,44,100,0
45,1339.86774963,45,100,0
46,1343.7971195792,46,100,0
47,1347.4237529568,47,100,0
48,1350.7554614795,48,100,0
49,1353.8004877134,49,100,0
50,1356.5674178808,50,100,0
51,1359.0651003395,51,100,0
52,1361.3025698157,52,100,0
53,1363.2889777695,53,100,0
54,1365.0335293362,54,100,0
55,1366.5454271211,55,100,0
56,1367.8338218188,56,100,0
57,1368.9077693156,57,100,0
58,1369.7761937162,58,100,0
59,1370.4478556591,59,100,0
60,1370.9313253251,60,100,0
61,1371.2349596549,61,100,0
62,1371.3668834063,62,100,0
63,1371.3349737683,63,100,0
64,1371.1468482802,64,100,0
65,1370.8098558011,65,100,0
66,1370.3310702483,66,100,0
67,1369.7172867989,67,100,0
68,1368.9750202423,68,100,0
69,1368.1105051802,69,100,0
70,1367.1296977998,70,100,0
71,1366.0382789812,71,100,0
72,1364.841658534,72,100,0
73,1363.5449803903,73,100,0
74,1362.153128603,74,100,0
75,1360.6707340157,75,100,0
76,1359.1021814825,76,100,0
77,1357.4516175248,77,100,0
78,1355.7229583242,78,100,0
79,1353.9198979573,79,100,0
80,1352.0459167922,80,100,0
81,1350.1042899752,81,100,0
82,1348.0980959473,82,100,0
83,1346.0302249411,83,100,0
84,1343.9033874145,84,100,0
85,1341.7201223879,85,100,0
86,1339.4828056565,86,100,0
87,1337.1936578534,87,100,0
88,1334.8547523473,88,100,0
89,1332.468022958,89,100,0
90,1330.0352714805,90,100,0
91,1327.5581750085,91,100,0
92,1325.0382930527,92,100,0
93,1322.4770744511,93,100,0
94,1319.8758640695,94,100,0
95,1317.2359092947,95,100,0
96,1314.5583663212,96,100,0
97,1311.8443062355,97,100,0
98,1309.0947209027,98,100,0
99,1306.3105286602,99,100,0
100,1303.4925798251,100,100,0
101,1300.6416620193,101,100,0
102,1297.7585053217,102,100,0
103,1294.8437872505,103,100,0
104,1291.8981375851,104,100,0
105,1288.9221430304,105,100,0
106,1285.9163517324,106,100,0
107,1282.8812776481,107,100,0
108,1279.8174047756,108,100,0
109,1276.7251912485,109,100,0
110,1273.6050732981,110,100,0
111,1270.4574690857,111,100,0
112,1267.282782408,112,100,0
113,1264.0814062747,113,100,0
114,1260.8537263604,114,100,0
115,1257.6001243273,115,100,0
116,1254.3209810179,116,100,0
117,1251.0166795131,117,100,0
118,1247.6876080506,118,100,0
119,1244.3341627972,119,100,0
120,1240.9567504674,120,100,0
121,1237.5557907771,121,100,0
122,1234.131718723,122,100,0
123,1230.6849866742,123,100,0
124,1227.2160662615,124,100,0
125,1223.7254500487,125,100,0
126,1220.2136529692,126,100,0
127,1216.6812135073,127,100,0
128,1213.1286946029,128,100,0
129,1209.5566842561,129,100,0
130,1205.9657958019,130,100,0
131,1202.3566678254,131,100,0
132,1198.7299636818,132,100,0
133,1195.0863705883,133,100,0
134,1191.4265982578,134,100,0
135,1187.7513770567,135,100,0
136,1184.0614556851,136,100,0
137,1180.3575983936,137,100,0
138,1176.6405817592,138,100,0
139,1172.9111910258,139,100,0
140,1169.1702159673,140,100,0
141,1165.4184461581,141,100,0
142,1161.6566654713,142,100,0
143,1157.8856456284,143,100,0
144,1154.1061387722,144,100,0
145,1150.3188693532,145,100,0
146,1146.5245260402,146,100,0
147,1142.7237546709,147,100,0
148,1138.9171531253,148,100,0
149,1135.1052681831,149,100,0
150,1131.2885929952,150,100,0
151,1127.4675624179,151,100,0
152,1123.6425433013,152,100,0
153,1119.8138190444,153,100,0
154,1115.9815724623,154,100,0
155,1112.145876407,155,100,0
156,1108.3067038287,156,100,0
157,1104.4639638798,157,100,0
158,1100.6175570365,158,100,0
159,1096.7674248884,159,100,0
160,1092.9135604845,160,100,0
161,1089.0559556734,161,100,0
162,1085.1944975091,162,100,0
163,1081.3288743369,163,100,0
164,1077.4585838056,164,100,0
165,1073.583115674,165,100,0
166,1069.7022979258,166,100,0
167,1065.8166732932,167,100,0
168,1061.9276847057,168,100,0
169,1058.0374717804,169,100,0
170,1054.1482503774,170,100,0
171,1050.2615078223,171,100,0
172,1046.3774563368,172,100,0
173,1042.49518759,173,100,0
174,1038.613689955,174,100,0
175,1034.7334182325,175,100,0
176,1030.8576836238,176,100,0
177,1026.9930300737,177,100,0
178,1023.1481159474,178,100,0
179,1019.3313141441,179,100,0
180,1015.5479458183,180,100,0
181,1011.7983873638,181,100,0
182,1008.0780177687,182,100,0
183,1004.3791881102,183,100,0
184,1000.6944540446,184,100,0
185,997.01966090955,185,100,0
186,993.35541032896,186,100,0
187,989.70597540306,187,100,0
188,986.07559777057,188,100,0
189,982.46290134263,189,100,0
190,978.85459112918,190,100,0
191,975.21960702364,191,100,0
192,971.50462930207,192,100,0
193,967.63141600303,193,100,0
194,963.49564241022,194,100,0
195,958.96539222335,195,100,0
196,953.87748092081,196,100,0
197,948.04000632983,197,100,0
198,941.28238877536,198,100,0
199,933.484338505,199,100,0
200,925.08660527211,200,100,0
