id,temp,x,y,z
0,925.07740057242,100,0,0
1,933.94401353214,100,1,0
2,943.01215522619,100,2,0
3,951.98457938961,100,3,0
4,960.94235797855,100,4,0
5,969.86928669227,100,5,0
6,978.77337543864,100,6,0
7,987.65519553577,100,7,0
8,996.51610407098,100,8,0
9,1005.3558301779,100,9,0
10,1014.1731223243,100,10,0
11,1022.9655395388,100,11,0
12,1031.7295907548,100,12,0
13,1040.4607719025,100,13,0
14,1049.1536512387,100,14,0
15,1057.8019179524,100,15,0
16,1066.3984350563,100,16,0
17,1074.9352872324,100,17,0
18,1083.4038465304,100,18,0
19,1091.7948587649,100,19,0
20,1100.0985570936,100,20,0
21,1108.3047984696,100,21,0
22,1116.4032173453,100,22,0
23,1124.383387455,100,23,0
24,1132.2349832483,100,24,0
25,1139.9479334001,100,25,0
26,1147.5125609994,100,26,0
27,1154.919706914,100,27,0
28,1162.1608345325,100,28,0
29,1169.2281151785,100,29,0
30,1176.1144941112,100,30,0
31,1182.8137372888,100,31,0
32,1189.3204592384,100,32,0
33,1195.6301326402,100,33,0
34,1201.7390807401,100,34,0
35,1207.6444544518,100,35,0
36,1213.3441968857,100,36,0
37,1218.8369988404,100,37,0
38,1224.1222492795,100,38,0
39,1229.1999847931,100,39,0
40,1234.070841431,100,40,0
41,1238.7360111325,100,41,0
42,1243.1972034878,100,42,0
43,1247.4566120336,100,43,0
44,1251.516883073,100,44,0
45,1255.3810843891,100,45,0
46,1259.0526713641,100,46,0
47,1262.5354488784,100,47,0
48,1265.833528754,100,48,0
49,1268.951284043,100,49,0
50,1271.8933027604,100,50,0
51,1274.6643443466,100,51,0
52,1277.2693020179,100,52,0
53,1279.7131732359,100,53,0
54,1282.0010390096,100,54,0
55,1284.1380510395,100,55,0
56,1286.129424259,100,56,0
57,1287.9804315105,100,57,0
58,1289.6963971296,100,58,0
59,1291.282687064,100,59,0
60,1292.7446945876,100,60,0
61,1294.0878222451,100,61,0
62,1295.3174619581,100,62,0
63,1296.4389758561,100,63,0
64,1297.4576802336,100,64,0
65,1298.3788341588,100,65,0
66,1299.2076329781,100,66,0
67,1299.9492056914,100,67,0
68,1300.6086143051,100,68,0
69,1301.1908530541,100,69,0
70,1301.7008458312,100,70,0
71,1302.1434410793,100,71,0
72,1302.5234044421,100,72,0
73,1302.8454102741,100,73,0
74,1303.1140334262,100,74,0
75,1303.3337425043,100,75,0
76,1303.50889517,100,76,0
77,1303.6437353098,100,77,0
78,1303.7423913247,100,78,0
79,1303.8088745852,100,79,0
80,1303.8470772955,100,80,0
81,1303.8607694692,100,81,0
82,1303.8535952266,100,82,0
83,1303.8290689479,100,83,0
84,1303.7905718633,100,84,0
85,1303.741349441,100,85,0
86,1303.6845095941,100,86,0
