x,y,z,id,ux,uy
0,100,0,0,0,0
1,100,0,1,-0.0034145874822046,0.42355043946996
2,100,0,2,-0.016097930964246,0.83619625793485
3,100,0,3,-0.036050414709295,1.2378368247763
4,100,0,4,-0.063888268970222,1.628382100713
5,100,0,5,-0.098868740934922,2.0077633323939
6,100,0,6,-0.14095565767696,2.3759265839705
7,100,0,7,-0.18974704009644,2.732835175516
8,100,0,8,-0.24503284021975,3.0784674717325
9,100,0,9,-0.30650583713168,3.412817072257
10,100,0,10,-0.37391243477224,3.7358917383127
11,100,0,11,-0.44697492077303,4.047712963798
12,100,0,12,-0.52543242199214,4.3483152008263
13,100,0,13,-0.60902017631166,4.6377452570454
14,100,0,14,-0.69748081939033,4.9160615983078
15,100,0,15,-0.79055901239237,5.1833336980686
16,100,0,16,-0.88800469269739,5.4396413626969
17,100,0,17,-0.98957181394607,5.6850740724753
18,100,0,18,-1.0950193964487,5.9197303203594
19,100,0,19,-1.204111344298,6.1437169606255
20,100,0,20,-1.3166168693464,6.3571485637981
21,100,0,21,-1.4323105660702,6.5601467823841
22,100,0,22,-1.5509726338602,6.7528397275618
23,100,0,23,-1.6723889890778,6.9353613590708
24,100,0,24,-1.7963514011154,7.1078508893965
25,100,0,25,-1.9226575833398,7.2704522036828
26,100,0,26,-2.0511112755723,7.4233132966151
27,100,0,27,-2.1815222999633,7.5665857272083
28,100,0,28,-2.3137066007065,7.7004240926635
29,100,0,29,-2.4474862632946,7.8249855219317
30,100,0,30,-2.5826895167708,7.9404291897972
31,100,0,31,-2.7191507184745,8.0469158521982
32,100,0,32,-2.8567103229014,8.144607403071
33,100,0,33,-2.9952148352364,8.233666453197
34,100,0,34,-3.1345167507052,8.3142559312985
35,100,0,35,-3.2744744806062,8.3865387075386
36,100,0,36,-3.4149522660371,8.4506772395814
37,100,0,37,-3.5558200802518,8.5068332410079
38,100,0,38,-3.6969535206109,8.5551673720014
39,100,0,39,-3.8382336910539,8.5958389523363
40,100,0,40,-3.9795470760107,8.6290056960184
41,100,0,41,-4.1207854066394,8.6548234676322
42,100,0,42,-4.2618455202522,8.6734460595934
43,100,0,43,-4.4026292137567,8.6850249901893
44,100,0,44,-4.5430430919068,8.689709321673
45,100,0,45,-4.6829984111197,8.6876454980955
46,100,0,46,-4.8224109195786,8.6789772018486
47,100,0,47,-4.9612006942981,8.6638452289054
48,100,0,48,-5.0992919757928,8.6423873816335
49,100,0,49,-5.236613000946,8.6147383787686
50,100,0,50,-5.3730958346342,8.5810297816419
51,100,0,51,-5.508676200627,8.5413899363594
52,100,0,52,-5.6432933122342,8.4959439308583
53,100,0,53,-5.7768897031411,8.4448135663233
54,100,0,54,-5.909411058829,8.3881173423661
55,100,0,55,-6.0408060489423,8.3259704549223
56,100,0,56,-6.1710261609302,8.2584848066869
57,100,0,57,-6.3000255352537,8.1857690291086
58,100,0,58,-6.4277608024178,8.1079285153334
59,100,0,59,-6.5541909220591,8.0250654634741
60,100,0,60,-6.6792770242868,7.9372789298375
61,100,0,61,-6.8029822534511,7.8446648909517
62,100,0,62,-6.9252716144871,7.7473163145284
63,100,0,63,-7.0461118219573,7.6453232383168
64,100,0,64,-7.1654711518957,7.5387728564188
65,100,0,65,-7.2833192965379,7.4277496129838
66,100,0,66,-7.3996272220009,7.3123353018769
67,100,0,67,-7.5143670289641,7.1926091731108
68,100,0,68,-7.6275118163853,7.0686480446426
69,100,0,69,-7.7390355482781,6.9405264196647
70,100,0,70,-7.8489129235596,6.8083166087669
71,100,0,71,-7.9571192489774,6.6720888569025
72,100,0,72,-8.0636303151085,6.531911474349
73,100,0,73,-8.1684222754263,6.3878509723596
74,100,0,74,-8.2714715284193,6.2399722020277
75,100,0,75,-8.3727546027503,6.088338497082
76,100,0,76,-8.4722480454381,5.9330118199882
77,100,0,77,-8.5699283130479,5.7740529111223
78,100,0,78,-8.6657716658782,5.6115214411933
79,100,0,79,-8.7597540651306,5.4454761664894
80,100,0,80,-8.8518510730624,5.2759750868327
81,100,0,81,-8.9420377561163,5.1030756063631
82,100,0,82,-9.0302885910409,4.9268346965993
83,100,0,83,-9.116577374011,4.7473090624243
84,100,0,84,-9.2008771327779,4.5645553104976
85,100,0,85,-9.2831600418815,4.3786301197034
86,100,0,86,-9.3633973409741,4.1895904143573
87,100,0,87,-9.4415592563104,3.9974935397857
88,100,0,88,-9.5176149254849,3.8023974400574
89,100,0,89,-9.5915323254949,3.6043608382208
90,100,0,90,-9.6632782042424,3.4034434188106
91,100,0,91,-9.7328180155878,3.1997060128491
92,100,0,92,-9.8001158580974,2.9932107849592
93,100,0,93,-9.865134417641,2.7840214229628
94,100,0,94,-9.927834914013,2.5722033297625
95,100,0,95,-9.9881770517774,2.3578238174533
96,100,0,96,-10.046118975549,2.1409523040065
97,100,0,97,-10.101617229955,1.9216605117741
98,100,0,98,-10.154626724532,1.7000226683244
99,100,0,99,-10.205100703852,1.4761157094968
100,100,0,100,-10.252990723172,1.2500194844264
101,100,0,101,-10.298246629954,1.0218169624664
102,100,0,102,-10.340816551596,0.79159444156266
103,100,0,103,-10.380646889768,0.55944175866519
104,100,0,104,-10.417682321746,0.32545250131083
