"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-698.9300343,-8.851108786,5.275594904,0,0,1,80,80,100,0
-698.9287691,-8.941279993,5.102714391,0,0,1,81,81,100,0
-698.9274402,-9.029515664,4.926492914,0,0,1,82,82,100,0
-698.926046,-9.115789603,4.746987169,0,0,1,83,83,100,0
-698.9245851,-9.200074842,4.564253757,0,0,1,84,84,100,0
-698.9230559,-9.282343564,4.378349347,0,0,1,85,85,100,0
-698.921457,-9.362567015,4.189330857,0,0,1,86,86,100,0
-698.9197869,-9.440715429,3.997255624,0,0,1,87,87,100,0
-698.9180444,-9.516757953,3.802181583,0,0,1,88,88,100,0
-698.916228,-9.590662571,3.60416745,0,0,1,89,89,100,0
-698.9143363,-9.662396041,3.4032729,0,0,1,90,90,100,0
-698.9123681,-9.731923826,3.199558756,0,0,1,91,91,100,0
-698.9103222,-9.799210035,2.993087173,0,0,1,92,92,100,0
-698.9081974,-9.864217366,2.783921828,0,0,1,93,93,100,0
-698.9059925,-9.92690705,2.572128115,0,0,1,94,94,100,0
-698.9037065,-9.987238804,2.357773335,0,0,1,95,95,100,0
-698.9013386,-10.04517079,2.140926894,0,0,1,96,96,100,0
-698.8988876,-10.10065956,1.921660502,0,0,1,97,97,100,0
-698.896353,-10.15366004,1.700048374,0,0,1,98,98,100,0
-698.8937339,-10.20412549,1.476167432,0,0,1,99,99,100,0
-698.8910297,-10.25200749,1.250097509,0,0,1,100,100,100,0
-698.8882399,-10.2972559,1.02192156,0,0,1,101,101,100,0
-698.8853642,-10.33981886,0.7917258643,0,0,1,102,102,100,0
-698.8824023,-10.3796428,0.5596002415,0,0,1,103,103,100,0
-698.8793539,-10.41667242,0.3256382591,0,0,1,104,104,100,0
-698.8762191,-10.45085069,0.08993744673,0,0,1,105,105,100,0
-698.8729981,-10.48211891,-0.1474004912,0,0,1,106,106,100,0
-698.869691,-10.51041668,-0.386269461,0,0,1,107,107,100,0
-698.8662982,-10.53568198,-0.6265587659,0,0,1,108,108,100,0
-698.8628205,-10.55785119,-0.8681528925,0,0,1,109,109,100,0
-698.8592584,-10.57685914,-1.110931298,0,0,1,110,110,100,0
-698.8556129,-10.59263918,-1.354768197,0,0,1,111,111,100,0
-698.8518851,-10.60512327,-1.599532357,0,0,1,112,112,100,0
-698.8480763,-10.61424203,-1.845086883,0,0,1,113,113,100,0
-698.8441879,-10.61992488,-2.091289024,0,0,1,114,114,100,0
-698.8402216,-10.62210012,-2.337989964,0,0,1,115,115,100,0
-698.8361793,-10.62069507,-2.585034636,0,0,1,116,116,100,0
-698.832063,-10.6156362,-2.832261527,0,0,1,117,117,100,0
-698.827875,-10.6068493,-3.079502504,0,0,1,118,118,100,0
-698.8236178,-10.59425962,-3.326582634,0,0,1,119,119,100,0
-698.8192942,-10.57779208,-3.573320025,0,0,1,120,120,100,0
-698.814907,-10.55737146,-3.819525677,0,0,1,121,121,100,0
-698.8104596,-10.53292263,-4.065003332,0,0,1,122,122,100,0
-698.8059553,-10.50437077,-4.309549358,0,0,1,123,123,100,0
-698.8013977,-10.4716416,-4.552952633,0,0,1,124,124,100,0
-698.7967909,-10.43466173,-4.794994449,0,0,1,125,125,100,0
-698.7921389,-10.39335886,-5.035448443,0,0,1,126,126,100,0
-698.7874462,-10.34766214,-5.274080537,0,0,1,127,127,100,0
-698.7827173,-10.29750249,-5.510648906,0,0,1,128,128,100,0
-698.7779572,-10.24281294,-5.744903974,0,0,1,129,129,100,0
-698.773171,-10.183529,-5.976588429,0,0,1,130,130,100,0
-698.7683641,-10.11958904,-6.20543727,0,0,1,131,131,100,0
-698.7635422,-10.0509347,-6.431177889,0,0,1,132,132,100,0
-698.7587109,-9.977511308,-6.653530175,0,0,1,133,133,100,0
-698.7538765,-9.899268326,-6.872206666,0,0,1,134,134,100,0
-698.7490453,-9.816159799,-7.086912726,0,0,1,135,135,100,0
-698.7442238,-9.728144834,-7.29734677,0,0,1,136,136,100,0
-698.7394187,-9.635188086,-7.503200525,0,0,1,137,137,100,0
-698.734637,-9.537260263,-7.704159337,0,0,1,138,138,100,0
-698.7298859,-9.434338639,-7.899902521,0,0,1,139,139,100,0
-698.7251727,-9.32640758,-8.090103758,0,0,1,140,140,100,0
-698.7205048,-9.21345908,-8.274431544,0,0,1,141,141,100,0
-698.71589,-9.095493303,-8.452549684,0,0,1,142,142,100,0
-698.711336,-8.972519131,-8.62411784,0,0,1,143,143,100,0
-698.7068508,-8.84455471,-8.788792133,0,0,1,144,144,100,0
-698.7024425,-8.711628001,-8.946225791,0,0,1,145,145,100,0
-698.698119,-8.573777321,-9.09606986,0,0,1,146,146,100,0
-698.6938887,-8.431051888,-9.237973961,0,0,1,147,147,100,0
-698.6897598,-8.283512341,-9.371587104,0,0,1,148,148,100,0
-698.6857405,-8.131231263,-9.496558556,0,0,1,149,149,100,0
-698.6818391,-7.974293669,-9.612538757,0,0,1,150,150,100,0
-698.6780639,-7.812797491,-9.71918029,0,0,1,151,151,100,0
-698.6744231,-7.646854025,-9.816138895,0,0,1,152,152,100,0
-698.6709248,-7.47658835,-9.903074535,0,0,1,153,153,100,0
-698.6675771,-7.302139724,-9.9796525,0,0,1,154,154,100,0
-698.6643879,-7.123661929,-10.04554456,0,0,1,155,155,100,0
-698.6613649,-6.941323583,-10.10043012,0,0,1,156,156,100,0
-698.6585157,-6.755308406,-10.14399748,0,0,1,157,157,100,0
-698.6558477,-6.565815428,-10.17594503,0,0,1,158,158,100,0
-698.653368,-6.373059158,-10.19598252,0,0,1,159,159,100,0
-698.6510834,-6.177269681,-10.20383235,0,0,1,160,160,100,0
-698.6490006,-5.978692702,-10.19923083,0,0,1,161,161,100,0
-698.6471258,-5.777589528,-10.1819295,0,0,1,162,162,100,0
-698.6454649,-5.574236974,-10.15169634,0,0,1,163,163,100,0
-698.6440234,-5.368927211,-10.10831709,0,0,1,164,164,100,0
-698.6428065,-5.161967536,-10.05159649,0,0,1,165,165,100,0
-698.6418189,-4.95368007,-9.981359456,0,0,1,166,166,100,0
-698.6410648,-4.744401384,-9.897452259,0,0,1,167,167,100,0
-698.6405481,-4.534482048,-9.799743672,0,0,1,168,168,100,0
-698.6402722,-4.32428611,-9.688126014,0,0,1,169,169,100,0
-698.6402398,-4.114190498,-9.562516162,0,0,1,170,170,100,0
-698.6404533,-3.904584354,-9.42285648,0,0,1,171,171,100,0
-698.6409146,-3.695868292,-9.269115663,0,0,1,172,172,100,0
-698.641625,-3.488453594,-9.101289501,0,0,1,173,173,100,0
-698.6425853,-3.282761343,-8.919401539,0,0,1,174,174,100,0
-698.6437958,-3.079221492,-8.723503635,0,0,1,175,175,100,0
-698.6452561,-2.878271879,-8.513676417,0,0,1,176,176,100,0
-698.6469656,-2.680357199,-8.29002961,0,0,1,177,177,100,0
-698.648923,-2.485927921,-8.052702256,0,0,1,178,178,100,0
-698.6511264,-2.29543918,-7.801862804,0,0,1,179,179,100,0
-698.6535738,-2.109349626,-7.537709079,0,0,1,180,180,100,0
-698.6562622,-1.928120262,-7.260468114,0,0,1,181,181,100,0
-698.6591887,-1.752213259,-6.970395864,0,0,1,182,182,100,0
-698.6623495,-1.582090766,-6.66777678,0,0,1,183,183,100,0
-698.6657409,-1.418213724,-6.352923266,0,0,1,184,184,100,0
-698.6693585,-1.26104068,-6.026175,0,0,1,185,185,100,0
-698.6731976,-1.111026633,-5.687898147,0,0,1,186,186,100,0
-698.6772534,-0.9686218924,-5.33848444,0,0,1,187,187,100,0
-698.6815207,-0.8342709766,-4.978350163,0,0,1,188,188,100,0
-698.6859943,-0.7084115546,-4.607935025,0,0,1,189,189,100,0
-698.6906685,-0.5914734343,-4.227700937,0,0,1,190,190,100,0
-698.6955379,-0.4838776083,-3.838130703,0,0,1,191,191,100,0
-698.7005968,-0.3860353636,-3.439726638,0,0,1,192,192,100,0
-698.7058396,-0.2983474602,-3.03300911,0,0,1,193,193,100,0
-698.7112606,-0.2212033847,-2.618515039,0,0,1,194,194,100,0
-698.7168544,-0.1549806836,-2.196796339,0,0,1,195,195,100,0
-698.7226156,-0.1000443802,-1.768418344,0,0,1,196,196,100,0
-698.728539,-0.0567464781,-1.333958202,0,0,1,197,197,100,0
-698.7346198,-0.02542555408,-0.8940032729,0,0,1,198,198,100,0
-698.7408535,-0.00640644118,-0.4491495341,0,0,1,199,199,100,0
-698.7472357,0,0,0,0,1,200,200,100,0
