"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-351.3524515,-8.851109484,5.275602277,0,0,1,80,80,100,0
-351.3511864,-8.941280792,5.102721688,0,0,1,81,81,100,0
-351.3498576,-9.029516568,4.926500131,0,0,1,82,82,100,0
-351.3484635,-9.115790614,4.746994304,0,0,1,83,83,100,0
-351.3470026,-9.200075964,4.564260806,0,0,1,84,84,100,0
-351.3454735,-9.282344799,4.378356307,0,0,1,85,85,100,0
-351.3438747,-9.362568368,4.189337724,0,0,1,86,86,100,0
-351.3422047,-9.440716903,3.997262395,0,0,1,87,87,100,0
-351.3404622,-9.51675955,3.802188256,0,0,1,88,88,100,0
-351.3386458,-9.590664296,3.60417402,0,0,1,89,89,100,0
-351.3367542,-9.662397896,3.403279364,0,0,1,90,90,100,0
-351.3347861,-9.731925815,3.19956511,0,0,1,91,91,100,0
-351.3327402,-9.799212163,2.993093414,0,0,1,92,92,100,0
-351.3306155,-9.864219635,2.783927952,0,0,1,93,93,100,0
-351.3284106,-9.926909463,2.572134119,0,0,1,94,94,100,0
-351.3261247,-9.987241366,2.357779214,0,0,1,95,95,100,0
-351.3237568,-10.0451735,2.140932644,0,0,1,96,96,100,0
-351.3213059,-10.10066242,1.92166612,0,0,1,97,97,100,0
-351.3187713,-10.15366307,1.700053855,0,0,1,98,98,100,0
-351.3161522,-10.20412868,1.476172771,0,0,1,99,99,100,0
-351.313448,-10.25201085,1.250102703,0,0,1,100,100,100,0
-351.3106582,-10.29725942,1.021926603,0,0,1,101,101,100,0
-351.3077825,-10.33982256,0.7917307526,0,0,1,102,102,100,0
-351.3048206,-10.37964668,0.5596049697,0,0,1,103,103,100,0
-351.3017722,-10.41667647,0.3256428223,0,0,1,104,104,100,0
-351.2986374,-10.45085493,0.08994183944,0,0,1,105,105,100,0
-351.2954163,-10.48212334,-0.1473962743,0,0,1,106,106,100,0
-351.2921092,-10.5104213,-0.3862654254,0,0,1,107,107,100,0
-351.2887164,-10.5356868,-0.6265549175,0,0,1,108,108,100,0
-351.2852386,-10.5578562,-0.8681492372,0,0,1,109,109,100,0
-351.2816764,-10.57686435,-1.110927842,0,0,1,110,110,100,0
-351.2780309,-10.59264459,-1.354764947,0,0,1,111,111,100,0
-351.2743031,-10.60512888,-1.599529318,0,0,1,112,112,100,0
-351.2704942,-10.61424785,-1.845084064,0,0,1,113,113,100,0
-351.2666057,-10.61993091,-2.091286429,0,0,1,114,114,100,0
-351.2626393,-10.62210637,-2.337987602,0,0,1,115,115,100,0
-351.2585969,-10.62070153,-2.585032514,0,0,1,116,116,100,0
-351.2544804,-10.61564288,-2.832259652,0,0,1,117,117,100,0
-351.2502923,-10.6068562,-3.079500883,0,0,1,118,118,100,0
