x,y,z,id,ux,uy
100,0,0,0,0,0
100,1,0,1,-0.17530657067912,2.6779972783861e-05
100,2,0,2,-0.34656168765049,9.7485771024796e-05
100,3,0,3,-0.51395053413407,0.00020484832723882
100,4,0,4,-0.67762220604147,0.00034164397187021
100,5,0,5,-0.83776836858283,0.00050110730866404
100,6,0,6,-0.99458606567013,0.0006774006592727
100,7,0,7,-1.1481925964776,0.0008658565817125
100,8,0,8,-1.2987724638154,0.0010622885188044
100,9,0,9,-1.4464454546086,0.0012634751980899
100,10,0,10,-1.5914009354246,0.0014668487844055
100,11,0,11,-1.733734350384,0.0016706656539826
100,12,0,12,-1.8735787979686,0.0018738595374376
100,13,0,13,-2.0110845589374,0.0020760981687256
100,14,0,14,-2.1463694426636,0.0022777318672418
100,15,0,15,-2.2795495640131,0.0024797836390881
100,16,0,16,-2.4107389733817,0.0026839335997692
100,17,0,17,-2.5400492878479,0.0028924912702338
100,18,0,18,-2.6675883236256,0.0031083612774785
100,19,0,19,-2.7934133290033,0.003335462256721
100,20,0,20,-2.9176684621872,0.0035777344675164
100,21,0,21,-3.0404536174146,0.0038397088097849
100,22,0,22,-3.1618152679354,0.0041274413043964
100,23,0,23,-3.2818646997383,0.0044465490620103
100,24,0,24,-3.4006886342612,0.0048032263384555
100,25,0,25,-3.5183371504403,0.0052057129030189
100,26,0,26,-3.6349138527786,0.0056603867491896
100,27,0,27,-3.7504732528831,0.0061763172238285
100,28,0,28,-3.8650766179145,0.0067628690078762
100,29,0,29,-3.9788162421299,0.0074268959811689
100,30,0,30,-4.0917175158397,0.0081817630862656
100,31,0,31,-4.203851785823,0.0090367697976367
100,32,0,32,-4.3152848817728,0.010001096973439
100,33,0,33,-4.4260642345873,0.011086339588805
100,34,0,34,-4.5362299312017,0.012306074928747
100,35,0,35,-4.645820484662,0.013675219881882
100,36,0,36,-4.7548918857197,0.015203510394923
100,37,0,37,-4.8634822573629,0.016904649578949
100,38,0,38,-4.9716273025162,0.018792829699562
100,39,0,39,-5.079360214457,0.020882696473967
100,40,0,40,-5.1867115958492,0.023189306946894
100,41,0,41,-5.2937093883027,0.025728080118271
100,42,0,42,-5.4003788148452,0.028514739749727
100,43,0,43,-5.506742338191,0.031565248921631
100,44,0,44,-5.6128196373169,0.034895735818318
100,45,0,45,-5.718627606726,0.038522410018238
100,46,0,46,-5.8241697138687,0.042476050742863
100,47,0,47,-5.9294660400601,0.046763989385286
100,48,0,48,-6.0345255013948,0.051402244337168
100,49,0,49,-6.1393537363693,0.05640725389649
100,50,0,50,-6.2439538083991,0.061795056215259
100,51,0,51,-6.3483073284967,0.067615761543554
100,52,0,52,-6.4524258573924,0.073861751860781
100,53,0,53,-6.5563060366864,0.080545322410567
100,54,0,54,-6.6599277857758,0.087704859776139
100,55,0,55,-6.7632717816089,0.095371428124371
100,56,0,56,-6.8663421042873,0.1035286010469
100,57,0,57,-6.9691001601777,0.11223140028258
100,58,0,58,-7.0715245329618,0.12149691957768
100,59,0,59,-7.1736174955826,0.13130153714018
100,60,0,60,-7.2752886938496,0.14176192794932
100,61,0,61,-7.3765726129736,0.15279625366608
100,62,0,62,-7.477382343441,0.16450126210191
100,63,0,63,-7.5777136008192,0.17684821065878
100,64,0,64,-7.6774992503066,0.18989188012969
100,65,0,65,-7.7767098191297,0.20363099392773
100,66,0,66,-7.8752786722883,0.21810766344605
100,67,0,67,-7.9731777440329,0.23331355353677
100,68,0,68,-8.0703058686807,0.24931672639537
100,69,0,69,-8.1666824389098,0.26605742069264
100,70,0,70,-8.2621139091842,0.28367847556893
100,71,0,71,-8.3566909812647,0.30205524809813
100,72,0,72,-8.4501870744928,0.32134049152203
100,73,0,73,-8.5426328118697,0.34146464571709
100,74,0,74,-8.6339661730023,0.36243534544052
100,75,0,75,-8.7239428825209,0.38438738237922
100,76,0,76,-8.8126783136658,0.40719320135328
100,77,0,77,-8.8999946470846,0.43093035496587
100,78,0,78,-8.9857021507513,0.4556720336364
100,79,0,79,-9.0698896171449,0.48131739705924
100,80,0,80,-9.1524010637244,0.50791472921605
100,81,0,81,-9.2329281072538,0.53558395983835
100,82,0,82,-9.311617188281,0.56419746974368
100,83,0,83,-9.3883625050693,0.59376611386261
100,84,0,84,-9.4628227307171,0.62440329497708
100,85,0,85,-9.5349545476434,0.65607509447818
100,86,0,86,-9.60477262176,0.68872589326502
100,87,0,87,-9.6721539631798,0.72236076747046
100,88,0,88,-9.7367892664289,0.75704984021925
100,89,0,89,-9.7984845839382,0.79280847414957
100,90,0,90,-9.8573230392811,0.82955244864741
100,91,0,91,-9.9131647521498,0.86727908298635
100,92,0,92,-9.9658657373294,0.90598361670404
100,93,0,93,-10.015158191832,0.9456923997496
100,94,0,94,-10.060682024767,0.98644623260453
100,95,0,95,-10.102588273713,1.0281430698538
100,96,0,96,-10.140717502581,1.0707678697474
100,97,0,97,-10.174906504674,1.114302869864
100,98,0,98,-10.204988376745,1.1587275328707
100,99,0,99,-10.230792602878,1.2040181611736
100,100,0,100,-10.252145148132,1.2501487141803
100,101,0,101,-10.268451409206,1.2971581208223
100,102,0,102,-10.279937859131,1.3449359035078
100,103,0,103,-10.286440393144,1.3934421263245
100,104,0,104,-10.28779427079,1.4426347570018
100,105,0,105,-10.283834285971,1.4924686741824
100,106,0,106,-10.274394931556,1.5428959694867
100,107,0,107,-10.25931055936,1.5938659012527
100,108,0,108,-10.237860692169,1.6453649341472
100,109,0,109,-10.210170974702,1.6973017206637
100,110,0,110,-10.176278348344,1.7495991658068
100,111,0,111,-10.136017219934,1.8021943053411
100,112,0,112,-10.089222640828,1.8550216225547
100,113,0,113,-10.035147921287,1.908020731442
100,114,0,114,-9.9736909730245,1.9611048363113
100,115,0,115,-9.9051435586758,2.0141897237523
100,116,0,116,-9.8293439223588,2.0671992549943
100,117,0,117,-9.7456421465464,2.1200397250513
100,118,0,118,-9.6535025694131,2.1726034251843
100,119,0,119,-9.5535625881605,2.2248257124706
100,120,0,120,-9.4456653141376,2.2766219915006
100,121,0,121,-9.3283998484112,2.3278148695048
100,122,0,122,-9.2024963074693,2.3783590857754
100,123,0,123,-9.0681010932235,2.4281847261475
100,124,0,124,-8.9238957922902,2.4770816051584
100,125,0,125,-8.770225270925,2.5249883443254
100,126,0,126,-8.6075399764394,2.5718701132882
100,127,0,127,-8.4340501202038,2.6174207254323
100,128,0,128,-8.2508335572107,2.6616833830827
100,129,0,129,-8.0575720255088,2.7045309473043
100,130,0,130,-7.8529422180087,2.745679549394
100,131,0,131,-7.6384239933146,2.7852693024181
100,132,0,132,-7.4118429843413,2.822861468373
100,133,0,133,-7.1746726981049,2.8586199515508
100,134,0,134,-6.9254927691433,2.8922120014176
100,135,0,135,-6.6647924478534,2.923649055397
100,136,0,136,-6.3918276830872,2.9527109762171
100,137,0,137,-6.1067167098223,2.9793503113157
100,138,0,138,-5.8087606242973,3.0033533941543
100,139,0,139,-5.4983533052774,3.0247404441438
100,140,0,140,-5.1741777192353,3.043168441938
100,141,0,141,-4.8375807922485,3.0588782152965
100,142,0,142,-4.4859343091457,3.0712388609426
100,143,0,143,-4.1211421858185,3.080632439774
100,144,0,144,-3.7418512502137,3.0867202339542
100,145,0,145,-3.3475671879983,3.0893591800118
100,146,0,146,-2.9389661453153,3.0886866112256
100,147,0,147,-2.5146175386929,3.0843602423625
100,148,0,148,-2.0744324227035,3.0763574993903
100,149,0,149,-1.6187122540427,3.0647561907985
100,150,0,150,-1.1468868359729,3.0494409277681
100,151,0,151,-0.65742555124067,3.0300905670808
100,152,0,152,-0.15117075463752,3.0069391836932
100,153,0,153,0.37234300153075,2.9799311317344
100,154,0,154,0.91358564396773,2.9490230357116
100,155,0,155,1.4730713642008,2.9141764975587
100,156,0,156,2.0519009156451,2.8752489155215
100,157,0,157,2.6497546947989,2.8324122601511
100,158,0,158,3.2671056704891,2.7856833106047
100,159,0,159,3.9044246683921,2.7350959382122
100,160,0,160,4.5621784093938,2.68070185446
100,161,0,161,5.2408273285462,2.6225712147833
100,162,0,162,5.940823180635,2.5607930704926
100,163,0,163,6.6626064417276,2.4954756626515
100,164,0,164,7.4066035238813,2.4267465540441
100,165,0,165,8.1732238246133,2.3547525948926
100,166,0,166,8.9628566320184,2.2796597218281
100,167,0,167,9.7764807395004,2.2015824195154
100,168,0,168,10.614182424299,2.1207681947212
100,169,0,169,11.476044358071,2.037469976607
100,170,0,170,12.362337314671,1.9519296825686
100,171,0,171,13.273805922933,1.8643696090695
100,172,0,172,14.211160713752,1.7750475672108
100,173,0,173,15.173626971234,1.6843253576136
100,174,0,174,16.162264063777,1.5924733420722
100,175,0,175,17.177090666236,1.4998341004557
100,176,0,176,18.217857899344,1.4067634013854
100,177,0,177,19.285350205721,1.3136168677441
100,178,0,178,20.378960916716,1.2207743471745
100,179,0,179,21.498802381965,1.1286175805438
100,180,0,180,22.645222475808,1.0375700676976
100,181,0,181,23.81725745113,0.94799935952126
100,182,0,182,25.014803424585,0.86031333872157
100,183,0,183,26.238179106785,0.77499185567712
100,184,0,184,27.486223564258,0.69238797539764
