x,y,z,id,ux,uy
100,0,0,0,0,0
100,1,0,1,-0.17529429971695,2.935807315582e-05
100,2,0,2,-0.34655938650031,0.00010010076960971
100,3,0,3,-0.51397053090366,0.00020735192513588
100,4,0,4,-0.67767403595651,0.00034401782450664
100,5,0,5,-0.83781666147093,0.00050357720574079
100,6,0,6,-0.99467086696993,0.00067978974518988
100,7,0,7,-1.1482948616041,0.00086825529870805
100,8,0,8,-1.2988547917764,0.0010647843287841
100,9,0,9,-1.4465487666643,0.0012659813031486
100,10,0,10,-1.5915018632326,0.0014693885444272
100,11,0,11,-1.7338485078514,0.0016732422126968
100,12,0,12,-1.8737310795108,0.0018765020845191
100,13,0,13,-2.0112982316356,0.0020788308240486
100,14,0,14,-2.1465837869684,0.0022805312173192
100,15,0,15,-2.2797364423914,0.002482714200846
100,16,0,16,-2.4109911453326,0.0026869045265749
100,17,0,17,-2.5402676895082,0.0028957275137519
100,18,0,18,-2.6678281660435,0.0031118060619909
100,19,0,19,-2.793662763772,0.0033391527490003
100,20,0,20,-2.9179942719732,0.0035809438093805
100,21,0,21,-3.0407166892838,0.0038443681460118
100,22,0,22,-3.1621379619153,0.0041315042154614
100,23,0,23,-3.2822227229763,0.0044503955853425
100,24,0,24,-3.4010054021829,0.0048094614469201
100,25,0,25,-3.5186808865593,0.0052120234347102
100,26,0,26,-3.6353050040271,0.005665520716985
100,27,0,27,-3.7509181536413,0.0061792168286756
100,28,0,28,-3.8655034792398,0.0067688970392365
100,29,0,29,-3.9792262491876,0.0074370580690223
100,30,0,30,-4.0921395650449,0.0081937279824073
100,31,0,31,-4.2042954397347,0.0090495491081069
100,32,0,32,-4.3157445526862,0.01001574682099
100,33,0,33,-4.4265360058022,0.011104085795493
100,34,0,34,-4.5367170837144,0.012326811791433
100,35,0,35,-4.646333022852,0.013696576864058
100,36,0,36,-4.7554267948066,0.01522634557286
100,37,0,37,-4.8640389104564,0.016929279644927
100,38,0,38,-4.9722072528251,0.018818598278198
100,39,0,39,-5.0799669483507,0.020907411023202
100,40,0,40,-5.187350287962,0.023208520057338
100,41,0,41,-5.294386711629,0.025734188507414
100,42,0,42,-5.401073122968,0.028521880152329
100,43,0,43,-5.5074324415625,0.031595536357341
100,44,0,44,-5.6135146138436,0.034946083319874
100,45,0,45,-5.7193377433588,0.038584800581834
100,46,0,46,-5.8249174284238,0.042521237508832
100,47,0,47,-5.9302673060697,0.046762762997381
100,48,0,48,-6.0353214355815,0.051440611730209
100,49,0,49,-6.1401503077397,0.056482205406996
100,50,0,50,-6.2447684558671,0.061879097518814
100,51,0,51,-6.3491818541666,0.067632015586594
100,52,0,52,-6.4533010484348,0.073916153771934
100,53,0,53,-6.5571740053479,0.080653562496436
100,54,0,54,-6.6608305412414,0.087788476986121
100,55,0,55,-6.7642321415817,0.095390793985189
100,56,0,56,-6.8672633157021,0.10365555761644
100,57,0,57,-6.9700457598674,0.1123499741357
100,58,0,58,-7.0725621643995,0.12150033135731
100,59,0,59,-7.1745712638155,0.13147213753409
100,60,0,60,-7.2762872347662,0.14189068269866
100,61,0,61,-7.3776471946627,0.15284800490895
100,62,0,62,-7.4783782466033,0.16468784036482
100,63,0,63,-7.5787753935106,0.17696964472789
100,64,0,64,-7.6785768233553,0.19002227330495
100,65,0,65,-7.7777192991557,0.20385823543012
100,66,0,66,-7.8765166115117,0.21810209422002
