x,y,z,id,ux,uy
100,0,0,0,0,0
100,1,0,1,-0.1753238808226,2.5266166419277e-05
100,2,0,2,-0.34658209495518,9.5936780029696e-05
100,3,0,3,-0.51396258501631,0.00020336483243708
100,4,0,4,-0.67764627116362,0.00034004252727899
100,5,0,5,-0.83780728317528,0.00049938186975904
100,6,0,6,-0.99461320043733,0.00067566175421168
100,7,0,7,-1.1482252845609,0.00086399798843972
100,8,0,8,-1.2987987028337,0.0010603176820142
100,9,0,9,-1.4464827424161,0.0012613355538006
100,10,0,10,-1.5914210154601,0.0014645317924932
100,11,0,11,-1.7337516553231,0.0016681313715566
100,12,0,12,-1.8736075040646,0.001871084752505
100,13,0,13,-2.0111162913951,0.0020730499150646
100,14,0,14,-2.1464008052801,0.0022743756510923
100,15,0,15,-2.2795790543452,0.002476086058485
100,16,0,16,-2.4107644222864,0.002679866171115
100,17,0,17,-2.5400658144383,0.0028880486597636
100,18,0,18,-2.6675877966944,0.0031036015385615
100,19,0,19,-2.7934307269206,0.0033301168107373
100,20,0,20,-2.9176908790562,0.0035717999872236
100,21,0,21,-3.0404605600573,0.0038334604110907
100,22,0,22,-3.1618282198468,0.0041205023205756
100,23,0,23,-3.2818785544651,0.0044389165823562
100,24,0,24,-3.4006926025053,0.0047952730279429
100,25,0,25,-3.5183478351186,0.0051967133226072
100,26,0,26,-3.6349182396288,0.0056509443001548
100,27,0,27,-3.750474396993,0.0061662316921455
100,28,0,28,-3.865083553241,0.0067513941825944
100,29,0,29,-3.9788096850498,0.0074157977172003
100,30,0,30,-4.0917135596222,0.0081693499972819
100,31,0,31,-4.2038527890147,0.0090224950855698
100,32,0,32,-4.3152818790901,0.0099862080531796
100,33,0,33,-4.4260522731944,0.01107198959529
100,34,0,34,-4.5362123908186,0.012291860542009
100,35,0,35,-4.6458076612837,0.013658356191772
100,36,0,36,-4.7548805526832,0.015184520392404
100,37,0,37,-4.8634705962069,0.016883899296948
100,38,0,38,-4.971614406002,0.018770534716742
100,39,0,39,-5.0793456947611,0.020858956998524
100,40,0,40,-5.1866952851075,0.023164177348442
100,41,0,41,-5.2936911170656,0.025701679525985
100,42,0,42,-5.4003582516257,0.028487410831324
100,43,0,43,-5.506718870706,0.031537772308463
100,44,0,44,-5.6127922735766,0.034869608086194
100,45,0,45,-5.7185948699159,0.038500193778498
100,46,0,46,-5.824140169703,0.042447223866436
100,47,0,47,-5.9294387701136,0.046728797982105
100,48,0,48,-6.0344983395367,0.051363406016534
100,49,0,49,-6.1393235989329,0.056369911972848
100,50,0,50,-6.2439163006573,0.0617675364853
100,51,0,51,-6.3482752049743,0.067575837927183
100,52,0,52,-6.4523960544402,0.073814692029045
100,53,0,53,-6.5562715462884,0.080504269929784
100,54,0,54,-6.6598913030616,0.087665014585099
100,55,0,55,-6.7632418415745,0.095317615457038
100,56,0,56,-6.8663065405761,0.10348298141123
100,57,0,57,-6.9690656071571,0.11218221174873
100,58,0,58,-7.0714960421347,0.12143656530149
100,59,0,59,-7.1735716046583,0.13126742752347
100,60,0,60,-7.2752627762073,0.1416962755099
100,61,0,61,-7.3765367242115,0.15274464088137
100,62,0,62,-7.4773572654894,0.16443407047221
100,63,0,63,-7.5776848297525,0.17678608476554
100,64,0,64,-7.677476423297,0.18982213402168
100,65,0,65,-7.7766855933011,0.2035635520509
100,66,0,66,-7.8752623927586,0.21803150758551
100,67,0,67,-7.9731533463848,0.2332469532121
100,68,0,68,-8.0703014176658,0.24923057183094
100,69,0,69,-8.1666459773322,0.26600272061385
100,70,0,70,-8.2621227734909,0.28358337244074
100,71,0,71,-8.3566639035965,0.30199205480048
100,72,0,72,-8.4501977885562,0.3212477861505
100,73,0,73,-8.5426491490887,0.3413690097391
100,74,0,74,-8.6339389847635,0.36237352489959
100,75,0,75,-8.7239845557503,0.38427841583965
100,76,0,76,-8.8126993676066,0.40709997795709
100,77,0,77,-8.8999931592627,0.43085364172315
100,78,0,78,-8.9857718944597,0.45555389418972
100,79,0,79,-9.0699377568457,0.48121419818366
