group1,group2,group3,group4,group5,group6,id,x,y,z
2.6229530267682e+14,1.0593685423928e+15,1.9894866642609e+15,1.2904690122325e+15,1.0324417355665e+15,3.1309514850708e+14,92,92,100,0
2.6275494305367e+14,1.0612249572168e+15,1.9929729961626e+15,1.292730392953e+15,1.0342509543577e+15,3.1364380829214e+14,93,93,100,0
2.6315351425563e+14,1.0628347233294e+15,1.9959961240879e+15,1.2946913204718e+15,1.0358197952858e+15,3.1411957150357e+14,94,94,100,0
2.6349092367009e+14,1.0641974666671e+15,1.9985553454163e+15,1.2963513389202e+15,1.0371478936925e+15,3.1452232760143e+14,95,95,100,0
2.637670928954e+14,1.065312870566e+15,2.0006500653496e+15,1.2977100623872e+15,1.0382349408758e+15,3.1485198300646e+14,96,96,100,0
2.6398195775947e+14,1.0661806758366e+15,2.002279797048e+15,1.2987671750071e+15,1.0390806841627e+15,3.1510846112284e+14,97,97,100,0
2.6413546833492e+14,1.0668006808239e+15,2.0034441617424e+15,1.2995224310323e+15,1.0396849269679e+15,3.1529170235677e+14,98,98,100,0
2.6422758895089e+14,1.0671727414548e+15,2.0041428888211e+15,1.2999756548882e+15,1.0400475288406e+15,3.1540166413094e+14,99,99,100,0
2.642582982015e+14,1.0672967712723e+15,2.0043758158922e+15,1.3001267412145e+15,1.0401684054971e+15,3.1543832089484e+14,100,100,100,0
2.6422758895089e+14,1.0671727414548e+15,2.0041428888211e+15,1.2999756548882e+15,1.0400475288406e+15,3.1540166413094e+14,101,101,100,0
2.6413546833492e+14,1.0668006808239e+15,2.0034441617424e+15,1.2995224310323e+15,1.0396849269679e+15,3.1529170235677e+14,102,102,100,0
2.6398195775947e+14,1.0661806758366e+15,2.002279797048e+15,1.2987671750071e+15,1.0390806841627e+15,3.1510846112284e+14,103,103,100,0
2.637670928954e+14,1.065312870566e+15,2.0006500653496e+15,1.2977100623872e+15,1.0382349408758e+15,3.1485198300646e+14,104,104,100,0
2.6349092367009e+14,1.0641974666671e+15,1.9985553454163e+15,1.2963513389202e+15,1.0371478936925e+15,3.1452232760143e+14,105,105,100,0
2.6315351425563e+14,1.0628347233294e+15,1.9959961240879e+15,1.2946913204718e+15,1.0358197952858e+15,3.1411957150357e+14,106,106,100,0
2.6275494305367e+14,1.0612249572168e+15,1.9929729961626e+15,1.292730392953e+15,1.0342509543577e+15,3.1364380829214e+14,107,107,100,0
2.6229530267682e+14,1.0593685423928e+15,1.9894866642609e+15,1.2904690122325e+15,1.0324417355665e+15,3.1309514850708e+14,108,108,100,0
2.6177469992676e+14,1.0572659102336e+15,1.9855379386643e+15,1.2879077040328e+15,1.0303925594408e+15,3.124737196221e+14,109,109,100,0
2.6119325576892e+14,1.0549175493267e+15,1.9811277371292e+15,1.2850470638104e+15,1.0281039022807e+15,3.1177966601353e+14,110,110,100,0
2.6055110530384e+14,1.0523240053569e+15,1.9762570846772e+15,1.28188775662e+15,1.0255762960451e+15,3.1101314892503e+14,111,111,100,0
2.5984839773513e+14,1.0494858809787e+15,1.9709271133607e+15,1.2784305169633e+15,1.0228103282267e+15,3.1017434642798e+14,112,112,100,0
2.5908529633408e+14,1.0464038356753e+15,1.9651390620038e+15,1.2746761486221e+15,1.0198066417123e+15,3.0926345337769e+14,113,113,100,0
2.5826197840094e+14,1.0430785856048e+15,1.95889427592e+15,1.2706255244749e+15,1.0165659346305e+15,3.0828068136519e+14,114,114,100,0
2.5737863522279e+14,1.0395109034331e+15,1.9521942066063e+15,1.2662795862985e+15,1.013088960186e+15,3.0722625866483e+14,115,115,100,0
2.5643547202815e+14,1.0357016181535e+15,1.9450404114124e+15,1.2616393445545e+15,1.0093765264794e+15,3.061004301773e+14,116,116,100,0
2.5543270793814e+14,1.0316516148941e+15,1.9374345531884e+15,1.2567058781588e+15,1.0054294963147e+15,3.0490345736837e+14,117,117,100,0
2.5437057591445e+14,1.0273618347113e+15,1.929378399908e+15,1.2514803342369e+15,1.0012487869914e+15,3.0363561820304e+14,118,118,100,0
2.5324932270385e+14,1.022833274372e+15,1.9208738242697e+15,1.2459639278632e+15,9.96835370084e+14,3.0229720707513e+14,119,119,100,0
2.5206920877952e+14,1.0180669861218e+15,1.9119228032756e+15,1.2401579417849e+15,9.921902712067e+14,3.0088853473222e+14,120,120,100,0
2.5083050827904e+14,1.0130640774423e+15,1.9025274177874e+15,1.2340637261303e+15,9.8731456976381e+14,2.9940992819588e+14,121,121,100,0
2.4953350893913e+14,1.0078257107949e+15,1.892689852062e+15,1.2276826981021e+15,9.8220939868587e+14,2.9786173067707e+14,122,122,100,0
2.4817851202717e+14,1.0023531033538e+15,1.8824123932644e+15,1.2210163416549e+15,9.7687594415084e+14,2.9624430148655e+14,123,123,100,0
2.4676583226953e+14,9.9664752672694e+14,1.8716974309615e+15,1.2140662071573e+15,9.7131544529031e+14,2.9455801594036e+14,124,124,100,0
2.4529579777674e+14,9.9071030666539e+14,1.8605474565937e+15,1.2068339110385e+15,9.6552919388024e+14,2.9280326525999e+14,125,125,100,0
2.4376874996558e+14,9.8454282276244e+14,1.8489650629285e+15,1.1993211354192e+15,9.5951853401597e+14,2.9098045646736e+14,126,126,100,0
2.4218504347809e+14,9.7814650814165e+14,1.8369529434941e+15,1.1915296277264e+15,9.5328486177096e+14,2.8909001227424e+14,127,127,100,0
2.4054504609773e+14,9.7152284913522e+14,1.8245138919943e+15,1.1834612002925e+15,9.4682962483892e+14,2.871323709661e+14,128,128,100,0
2.3884913866259e+14,9.6467338495277e+14,1.8116508017062e+15,1.1751177299378e+15,9.4015432215861e+14,2.8510798628007e+14,129,129,100,0
2.370977149759e+14,9.5759970734149e+14,1.7983666648597e+15,1.1665011575367e+15,9.3326050352082e+14,2.8301732727701e+14,130,130,100,0
2.3529118171397e+14,9.5030346023817e+14,1.7846645720016e+15,1.1576134875659e+15,9.2614976915678e+14,2.808608782072e+14,131,131,100,0
2.3342995833162e+14,9.4278633941415e+14,1.7705477113428e+15,1.1484567876356e+15,9.1882376930724e+14,2.7863913836976e+14,132,132,100,0
2.3151447696554e+14,9.3505009211411e+14,1.7560193680911e+15,1.139033188002e+15,9.1128420377142e+14,2.763526219652e+14,133,133,100,0
2.2954518233551e+14,9.2709651668985e+14,1.7410829237691e+15,1.1293448810607e+15,9.0353282143477e+14,2.7400185794119e+14,134,134,100,0
2.275225316441e+14,9.1892746223042e+14,1.7257418555188e+15,1.1193941208193e+15,8.9557141977469e+14,2.7158738983103e+14,135,135,100,0
2.2544699447489e+14,9.1054482819004e+14,1.7099997353926e+15,1.1091832223492e+15,8.8740184434291e+14,2.6910977558467e+14,136,136,100,0
2.2331905268997e+14,9.0195056401552e+14,1.6938602296322e+15,1.098714561214e+15,8.7902598822339e+14,2.6656958739192e+14,137,137,100,0
2.211392003269e+14,8.9314666877517e+14,1.6773270979349e+15,1.0879905728736e+15,8.7044579146447e+14,2.6396741149766e+14,138,138,100,0
2.1890794349589e+14,8.8413519079145e+14,1.6604041927081e+15,1.0770137520616e+15,8.6166324048366e+14,2.6130384800863e+14,139,139,100,0
2.1662580027801e+14,8.7491822727976e+14,1.6430954583119e+15,1.0657866521338e+15,8.5268036744381e+14,2.5857951069153e+14,140,140,100,0
2.1429330062494e+14,8.6549792399637e+14,1.6254049302896e+15,1.0543118843857e+15,8.4349924959881e+14,2.5579502676223e+14,141,141,100,0
2.1191098626166e+14,8.558764748987e+14,1.6073367345854e+15,1.0425921173346e+15,8.3412200860731e+14,2.5295103666563e+14,142,142,100,0
2.0947941059287e+14,8.4605612182153e+14,1.5888950867475e+15,1.0306300759648e+15,8.2455080981257e+14,2.5004819384607e+14,143,143,100,0
2.0699913861482e+14,8.3603915417343e+14,1.5700842911166e+15,1.0184285409295e+15,8.147878614867e+14,2.4708716450789e+14,144,144,100,0
2.0447074683391e+14,8.2582790865798e+14,1.5509087399951e+15,1.0059903477076e+15,8.048354140375e+14,2.4406862736603e+14,145,145,100,0
2.0189482319418e+14,8.1542476902499e+14,1.5313729127953e+15,9.9331838570709e+14,7.9469575917593e+14,2.4099327338641e+14,146,146,100,0
1.9927196701577e+14,8.0483216585773e+14,1.5114813751612e+15,9.8041559731268e+14,7.8437122904255e+14,2.37861805516e+14,147,147,100,0
1.9660278894697e+14,7.9405257640258e+14,1.491238778058e+15,9.6728497686812e+14,7.7386419529122e+14,2.3467493840249e+14,148,148,100,0
1.93887910933e+14,7.830885244486e+14,1.4706498568222e+15,9.5392956958796e+14,7.631770681285e+14,2.3143339810359e+14,149,149,100,0
1.9112796620499e+14,7.7194258026505e+14,1.4497194301616e+15,9.4035247038997e+14,7.5231229530741e+14,2.2813792178593e+14,150,150,100,0
1.8832359929333e+14,7.6061736060595e+14,1.4284523990945e+15,9.2655682263954e+14,7.4127236107464e+14,2.2478925741395e+14,151,151,100,0
1.8547546607032e+14,7.4911552879184e+14,1.4068537458113e+15,9.1254581679646e+14,7.3005978507057e+14,2.2138816342884e+14,152,152,100,0
1.8258423382766e+14,7.3743979487953e+14,1.3849285324421e+15,8.9832268895359e+14,7.1867712118209e+14,2.1793540841814e+14,153,153,100,0
1.7965058139537e+14,7.2559291593234e+14,1.3626818997054e+15,8.8389071925633e+14,7.0712695634884e+14,2.144317707764e+14,154,154,100,0
1.7667519930991e+14,7.1357769640377e+14,1.3401190654125e+15,8.6925323019074e+14,6.9541190932443e+14,2.1087803835771e+14,155,155,100,0
1.7365879004018e+14,7.0139698864946e+14,1.3172453227928e+15,8.5441358472789e+14,6.8353462939499e+14,2.072750081209e+14,156,156,100,0
1.7060206828182e+14,6.8905369358284e+14,1.2940660386e+15,8.3937518431141e+14,6.7149779505913e+14,2.036234857684e+14,157,157,100,0
1.6750576133182e+14,6.7655076149182e+14,1.2705866509525e+15,8.2414146667492e+14,6.5930411267421e+14,1.9992428537988e+14,158,158,100,0
1.6437060955716e+14,6.6389119303446e+14,1.2468126668487e+15,8.0871590347624e+14,6.4695631507622e+14,1.9617822904205e+14,159,159,100,0
1.6119736697361e+14,6.5107804043326e+14,1.2227496592901e+15,7.9310199773576e+14,6.3445716018221e+14,1.9238614647593e+14,160,160,100,0
1.5798680195339e+14,6.3811440888854e+14,1.1984032639299e+15,7.773032810673e+14,6.2180942958675e+14,1.8854887466304e+14,161,161,100,0
1.5473969808307e+14,6.2500345823251e+14,1.1737791751534e+15,7.6132331069193e+14,6.0901592716662e+14,1.8466725747206e+14,162,162,100,0
1.5145685519665e+14,6.1174840484642e+14,1.1488831414736e+15,7.4516566622732e+14,5.9607947771101e+14,1.8074214528738e+14,163,163,100,0
1.4813909061284e+14,5.9835252386344e+14,1.1237209601124e+15,7.2883394624987e+14,5.83002925598e+14,1.7677439464067e+14,164,164,100,0
1.4478724060953e+14,5.848191516805e+14,1.098298470609e+15,7.1233176463146e+14,5.6978913354197e+14,1.7276486784666e+14,165,165,100,0
1.4140216217432e+14,5.711516888014e+14,1.0726215472738e+15,6.9566274666026e+14,5.5644098144089e+14,1.6871443264335e+14,166,166,100,0
1.3798473507541e+14,5.5735360303272e+14,1.0466960902745e+15,6.7883052496428e+14,5.42961365357e+14,1.6462396183651e+14,167,167,100,0
1.3453586430433e+14,5.4342843305212e+14,1.0205280151055e+15,6.6183873526836e+14,5.293531966693e+14,1.6049433294738e+14,168,168,100,0
1.3105648295014e+14,5.293797923654e+14,9.9412324015362e+14,6.4469101203099e+14,5.1561940144155e+14,1.5632642786062e+14,169,169,100,0
1.2754755557348e+14,5.1521137366444e+14,9.674876720235e+14,6.2739098402664e+14,5.0176292005461e+14,1.521211324686e+14,170,170,100,0
1.2401008216015e+14,5.0092695359186e+14,9.4062718823777e+14,6.0994226996394e+14,4.8778670715709e+14,1.4787933630488e+14,171,171,100,0
1.2044510274556e+14,4.8653039791018e+14,9.1354761686383e+14,5.9234847426034e+14,4.7369373199321e+14,1.4360193215777e+14,172,172,100,0
1.1685370281627e+14,4.7202566706214e+14,8.8625471255331e+14,5.7461318313157e+14,4.5948697917087e+14,1.3928981565015e+14,173,173,100,0
1.1323701961073e+14,4.57416822095e+14,8.5875412840231e+14,5.5673996120023e+14,4.4516944993603e+14,1.3494388476826e+14,174,174,100,0
1.0959624946077e+14,4.4270803090341e+14,8.310513829539e+14,5.387323488844e+14,4.307441640208e+14,1.3056503931551e+14,175,175,100,0
1.0593265633729e+14,4.2790357472303e+14,8.0315182156571e+14,5.2059386089552e+14,4.1621416213158e+14,1.2615418026145e+14,176,176,100,0
1.0224758178886e+14,4.1300785477824e+14,7.7506057125538e+14,5.0232798625822e+14,4.015825091391e+14,1.2171220894739e+14,177,177,100,0
98542456491969,3.9802539895222e+14,7.4678248801203e+14,4.8393819036467e+14,3.868522980231e+14,1.1724002610056e+14,178,178,100,0
94818813665177,3.8296086830373e+14,7.1832209542346e+14,4.6542791969695e+14,3.7202665460916e+14,1.1273853059749e+14,179,179,100,0
91078304639640,3.678190632011e+14,6.8968351331339e+14,4.4680060999552e+14,3.571087431118e+14,1.0820861790353e+14,180,180,100,0
87322716923904,3.5260492877827e+14,6.6087037491114e+14,4.2805969882456e+14,3.4210177246425e+14,1.0365117810055e+14,181,181,100,0
83553995154325,3.3732355933739e+14,6.3188573088451e+14,4.0920864369114e+14,3.2700900336827e+14,99067093396725,182,182,100,0
79774265384116,3.2198020122499e+14,6.027319383563e+14,3.9025094712017e+14,3.1183375593302e+14,94457234992697,183,183,100,0
75985863235611,3.0658025359088e+14,5.7341053279237e+14,3.7119019037756e+14,2.9657941768672e+14,89822459156103,184,184,100,0
72191366523469,2.9112926629628e+14,5.4392208039588e+14,3.5203007787758e+14,2.812494516323e+14,85163602332013,185,185,100,0
68393633053003,2.7563293406624e+14,5.1426600836551e+14,3.3277449471635e+14,2.6584740387225e+14,80481475090570,186,186,100,0
64595844409864,2.6009708577494e+14,4.8444041007708e+14,3.1342758025098e+14,2.5037691014078e+14,75776854685389,187,187,100,0
60801556687418,2.445276675049e+14,4.5444182192615e+14,2.9399382120567e+14,2.3484170034268e+14,71050475968012,188,188,100,0
57014759249323,2.2893071772482e+14,4.2426496822724e+14,2.7447816844468e+14,2.1924559989685e+14,66303020376061,189,189,100,0
53239942800414,2.13312332576e+14,3.9390247020323e+14,2.5488618232329e+14,2.0359252630405e+14,61535102687527,190,190,100,0
49482178243069,1.9767861883381e+14,3.6334451472165e+14,2.3522421242864e+14,1.8788647888604e+14,56747255213302,191,191,100,0
45747208033305,1.8203563160548e+14,3.3257847804597e+14,2.1549961857301e+14,1.7213151905635e+14,51939909088041,192,192,100,0
42041552026347,1.6638929322342e+14,3.0158849947869e+14,1.9572104112466e+14,1.5633173775807e+14,47113372320243,193,193,100,0
38372630121499,1.507452890762e+14,2.7035499938638e+14,1.758987301818e+14,1.4049120581088e+14,42267804282247,194,194,100,0
